Aphrika	Afriko
Katiguriya:Paqarisqa 1776	Kategorio:Naskiĝintoj en 1776
Katiguriya:Paqarisqa 1777	Kategorio:Naskiĝintoj en 1777
Katiguriya:Paqarisqa 1778	Kategorio:Naskiĝintoj en 1778
Katiguriya:Paqarisqa 1779	Kategorio:Naskiĝintoj en 1779
Katiguriya:Paqarisqa 1780	Kategorio:Naskiĝintoj en 1780
Katiguriya:Paqarisqa 1782	Kategorio:Naskiĝintoj en 1782
Katiguriya:Paqarisqa 1783	Kategorio:Naskiĝintoj en 1783
Katiguriya:Paqarisqa 1784	Kategorio:Naskiĝintoj en 1784
Katiguriya:Paqarisqa 1785	Kategorio:Naskiĝintoj en 1785
Katiguriya:Paqarisqa 1786	Kategorio:Naskiĝintoj en 1786
Katiguriya:Paqarisqa 1787	Kategorio:Naskiĝintoj en 1787
Katiguriya:Paqarisqa 1788	Kategorio:Naskiĝintoj en 1788
Katiguriya:Paqarisqa 1789	Kategorio:Naskiĝintoj en 1789
Katiguriya:Paqarisqa 1790	Kategorio:Naskiĝintoj en 1790
Katiguriya:Paqarisqa 1792	Kategorio:Naskiĝintoj en 1792
Katiguriya:Paqarisqa 1795	Kategorio:Naskiĝintoj en 1795
Katiguriya:Paqarisqa 1796	Kategorio:Naskiĝintoj en 1796
Katiguriya:Paqarisqa 1797	Kategorio:Naskiĝintoj en 1797
Katiguriya:Paqarisqa 1798	Kategorio:Naskiĝintoj en 1798
Katiguriya:Paqarisqa 1799	Kategorio:Naskiĝintoj en 1799
Katiguriya:Paqarisqa 1800	Kategorio:Naskiĝintoj en 1800
Katiguriya:Paqarisqa 1801	Kategorio:Naskiĝintoj en 1801
Katiguriya:Paqarisqa 1803	Kategorio:Naskiĝintoj en 1803
Katiguriya:Paqarisqa 1804	Kategorio:Naskiĝintoj en 1804
Katiguriya:Paqarisqa 1805	Kategorio:Naskiĝintoj en 1805
Katiguriya:Paqarisqa 1806	Kategorio:Naskiĝintoj en 1806
Katiguriya:Paqarisqa 1807	Kategorio:Naskiĝintoj en 1807
Katiguriya:Paqarisqa 1808	Kategorio:Naskiĝintoj en 1808
Katiguriya:Paqarisqa 1809	Kategorio:Naskiĝintoj en 1809
Katiguriya:Paqarisqa 1810	Kategorio:Naskiĝintoj en 1810
Katiguriya:Paqarisqa 1813	Kategorio:Naskiĝintoj en 1813
Katiguriya:Paqarisqa 1814	Kategorio:Naskiĝintoj en 1814
Katiguriya:Paqarisqa 1815	Kategorio:Naskiĝintoj en 1815
Katiguriya:Paqarisqa 1816	Kategorio:Naskiĝintoj en 1816
Katiguriya:Paqarisqa 1818	Kategorio:Naskiĝintoj en 1818
Katiguriya:Paqarisqa 1819	Kategorio:Naskiĝintoj en 1819
Katiguriya:Paqarisqa 1820	Kategorio:Naskiĝintoj en 1820
Katiguriya:Paqarisqa 1821	Kategorio:Naskiĝintoj en 1821
Katiguriya:Paqarisqa 1822	Kategorio:Naskiĝintoj en 1822
Katiguriya:Paqarisqa 1824	Kategorio:Naskiĝintoj en 1824
Katiguriya:Paqarisqa 1825	Kategorio:Naskiĝintoj en 1825
Katiguriya:Paqarisqa 1826	Kategorio:Naskiĝintoj en 1826
Katiguriya:Paqarisqa 1827	Kategorio:Naskiĝintoj en 1827
Katiguriya:Paqarisqa 1828	Kategorio:Naskiĝintoj en 1828
Katiguriya:Paqarisqa 1830	Kategorio:Naskiĝintoj en 1830
Katiguriya:Paqarisqa 1831	Kategorio:Naskiĝintoj en 1831
Katiguriya:Paqarisqa 1832	Kategorio:Naskiĝintoj en 1832
Katiguriya:Paqarisqa 1833	Kategorio:Naskiĝintoj en 1833
Katiguriya:Paqarisqa 1835	Kategorio:Naskiĝintoj en 1835
Katiguriya:Paqarisqa 1836	Kategorio:Naskiĝintoj en 1836
Katiguriya:Paqarisqa 1839	Kategorio:Naskiĝintoj en 1839
Katiguriya:Paqarisqa 1840	Kategorio:Naskiĝintoj en 1840
Katiguriya:Paqarisqa 1841	Kategorio:Naskiĝintoj en 1841
Katiguriya:Paqarisqa 1842	Kategorio:Naskiĝintoj en 1842
Katiguriya:Paqarisqa 1843	Kategorio:Naskiĝintoj en 1843
Katiguriya:Paqarisqa 1844	Kategorio:Naskiĝintoj en 1844
Katiguriya:Paqarisqa 1845	Kategorio:Naskiĝintoj en 1845
Katiguriya:Paqarisqa 1846	Kategorio:Naskiĝintoj en 1846
Katiguriya:Paqarisqa 1847	Kategorio:Naskiĝintoj en 1847
Katiguriya:Paqarisqa 1848	Kategorio:Naskiĝintoj en 1848
Katiguriya:Paqarisqa 1849	Kategorio:Naskiĝintoj en 1849
Katiguriya:Paqarisqa 1850	Kategorio:Naskiĝintoj en 1850
Katiguriya:Paqarisqa 1851	Kategorio:Naskiĝintoj en 1851
Katiguriya:Paqarisqa 1852	Kategorio:Naskiĝintoj en 1852
Katiguriya:Paqarisqa 1853	Kategorio:Naskiĝintoj en 1853
Katiguriya:Paqarisqa 1854	Kategorio:Naskiĝintoj en 1854
Katiguriya:Paqarisqa 1855	Kategorio:Naskiĝintoj en 1855
Katiguriya:Paqarisqa 1857	Kategorio:Naskiĝintoj en 1857
Katiguriya:Paqarisqa 1858	Kategorio:Naskiĝintoj en 1858
Katiguriya:Paqarisqa 1859	Kategorio:Naskiĝintoj en 1859
Katiguriya:Paqarisqa 1860	Kategorio:Naskiĝintoj en 1860
Katiguriya:Paqarisqa 1861	Kategorio:Naskiĝintoj en 1861
Katiguriya:Paqarisqa 1864	Kategorio:Naskiĝintoj en 1864
Katiguriya:Paqarisqa 1865	Kategorio:Naskiĝintoj en 1865
Katiguriya:Paqarisqa 1866	Kategorio:Naskiĝintoj en 1866
Katiguriya:Paqarisqa 1869	Kategorio:Naskiĝintoj en 1869
Katiguriya:Paqarisqa 1870	Kategorio:Naskiĝintoj en 1870
Katiguriya:Paqarisqa 1872	Kategorio:Naskiĝintoj en 1872
Katiguriya:Paqarisqa 1873	Kategorio:Naskiĝintoj en 1873
Katiguriya:Paqarisqa 1874	Kategorio:Naskiĝintoj en 1874
Katiguriya:Paqarisqa 1876	Kategorio:Naskiĝintoj en 1876
Katiguriya:Paqarisqa 1877	Kategorio:Naskiĝintoj en 1877
Katiguriya:Paqarisqa 1878	Kategorio:Naskiĝintoj en 1878
Katiguriya:Paqarisqa 1880	Kategorio:Naskiĝintoj en 1880
Katiguriya:Paqarisqa 1882	Kategorio:Naskiĝintoj en 1882
Katiguriya:Paqarisqa 1883	Kategorio:Naskiĝintoj en 1883
Katiguriya:Paqarisqa 1884	Kategorio:Naskiĝintoj en 1884
Katiguriya:Paqarisqa 1885	Kategorio:Naskiĝintoj en 1885
Katiguriya:Paqarisqa 1886	Kategorio:Naskiĝintoj en 1886
Katiguriya:Paqarisqa 1887	Kategorio:Naskiĝintoj en 1887
Katiguriya:Paqarisqa 1889	Kategorio:Naskiĝintoj en 1889
Katiguriya:Paqarisqa 1890	Kategorio:Naskiĝintoj en 1890
Katiguriya:Paqarisqa 1891	Kategorio:Naskiĝintoj en 1891
Katiguriya:Paqarisqa 1892	Kategorio:Naskiĝintoj en 1892
Katiguriya:646	Kategorio:646
Katiguriya:Paqarisqa 1893	Kategorio:Naskiĝintoj en 1893
Katiguriya:Paqarisqa 1894	Kategorio:Naskiĝintoj en 1894
Katiguriya:Paqarisqa 1895	Kategorio:Naskiĝintoj en 1895
Katiguriya:Paqarisqa 1896	Kategorio:Naskiĝintoj en 1896
Katiguriya:Paqarisqa 1897	Kategorio:Naskiĝintoj en 1897
Katiguriya:Paqarisqa 1900	Kategorio:Naskiĝintoj en 1900
Katiguriya:Paqarisqa 1901	Kategorio:Naskiĝintoj en 1901
Katiguriya:Paqarisqa 1902	Kategorio:Naskiĝintoj en 1902
Katiguriya:Paqarisqa 1904	Kategorio:Naskiĝintoj en 1904
Katiguriya:Paqarisqa 1905	Kategorio:Naskiĝintoj en 1905
Katiguriya:Paqarisqa 1907	Kategorio:Naskiĝintoj en 1907
Katiguriya:Paqarisqa 1908	Kategorio:Naskiĝintoj en 1908
Katiguriya:Paqarisqa 1909	Kategorio:Naskiĝintoj en 1909
Katiguriya:Paqarisqa 1912	Kategorio:Naskiĝintoj en 1912
Katiguriya:Paqarisqa 1913	Kategorio:Naskiĝintoj en 1913
Katiguriya:Paqarisqa 1914	Kategorio:Naskiĝintoj en 1914
Katiguriya:Paqarisqa 1917	Kategorio:Naskiĝintoj en 1917
Katiguriya:Paqarisqa 1918	Kategorio:Naskiĝintoj en 1918
Katiguriya:Paqarisqa 1919	Kategorio:Naskiĝintoj en 1919
Katiguriya:Paqarisqa 1922	Kategorio:Naskiĝintoj en 1922
Katiguriya:Paqarisqa 1923	Kategorio:Naskiĝintoj en 1923
Katiguriya:Paqarisqa 1927	Kategorio:Naskiĝintoj en 1927
Katiguriya:Paqarisqa 1928	Kategorio:Naskiĝintoj en 1928
Katiguriya:Paqarisqa 1942	Kategorio:Naskiĝintoj en 1942
Katiguriya:Paqarisqa 1943	Kategorio:Naskiĝintoj en 1943
Katiguriya:Paqarisqa 1945	Kategorio:Naskiĝintoj en 1945
Katiguriya:Paqarisqa 1947	Kategorio:Naskiĝintoj en 1947
Katiguriya:Paqarisqa 1949	Kategorio:Naskiĝintoj en 1949
Katiguriya:Paqarisqa 1952	Kategorio:Naskiĝintoj en 1952
Katiguriya:Paqarisqa 1953	Kategorio:Naskiĝintoj en 1953
Katiguriya:Paqarisqa 1957	Kategorio:Naskiĝintoj en 1957
Katiguriya:Paqarisqa 1958	Kategorio:Naskiĝintoj en 1958
Katiguriya:Paqarisqa 1959	Kategorio:Naskiĝintoj en 1959
Katiguriya:Paqarisqa 1961	Kategorio:Naskiĝintoj en 1961
Katiguriya:Paqarisqa 1962	Kategorio:Naskiĝintoj en 1962
Katiguriya:Paqarisqa 1966	Kategorio:Naskiĝintoj en 1966
Katiguriya:Paqarisqa 1967	Kategorio:Naskiĝintoj en 1967
Katiguriya:Paqarisqa 1968	Kategorio:Naskiĝintoj en 1968
Katiguriya:Paqarisqa 1969	Kategorio:Naskiĝintoj en 1969
Katiguriya:Paqarisqa 1971	Kategorio:Naskiĝintoj en 1971
Katiguriya:Paqarisqa 1972	Kategorio:Naskiĝintoj en 1972
Katiguriya:Paqarisqa 1973	Kategorio:Naskiĝintoj en 1973
Katiguriya:Paqarisqa 1975	Kategorio:Naskiĝintoj en 1975
Katiguriya:Paqarisqa 1976	Kategorio:Naskiĝintoj en 1976
Katiguriya:Paqarisqa 1978	Kategorio:Naskiĝintoj en 1978
Katiguriya:Paqarisqa 1979	Kategorio:Naskiĝintoj en 1979
Katiguriya:Paqarisqa 1980	Kategorio:Naskiĝintoj en 1980
Katiguriya:Paqarisqa 1981	Kategorio:Naskiĝintoj en 1981
Katiguriya:Paqarisqa 1982	Kategorio:Naskiĝintoj en 1982
Katiguriya:Paqarisqa 1985	Kategorio:Naskiĝintoj en 1985
Katiguriya:Paqarisqa 1986	Kategorio:Naskiĝintoj en 1986
Katiguriya:Paqarisqa 1987	Kategorio:Naskiĝintoj en 1987
Katiguriya:Paqarisqa 1988	Kategorio:Naskiĝintoj en 1988
Katiguriya:Paqarisqa 1989	Kategorio:Naskiĝintoj en 1989
Katiguriya:Paqarisqa 1991	Kategorio:Naskiĝintoj en 1991
Katiguriya:Paqarisqa 1996	Kategorio:Naskiĝintoj en 1996
Katiguriya:Paqarisqa 1 ñiqin pachakwatapi kñ	Kategorio:Naskiĝintoj en la 1-a jarcento a.K.
Katiguriya:680	Kategorio:680
Katiguriya:1729	Kategorio:1729
Katiguriya:1689	Kategorio:1689
Katiguriya:1715	Kategorio:1715
Katiguriya:700	Kategorio:700
Katiguriya:1797	Kategorio:1797
Katiguriya:1787	Kategorio:1787
Katiguriya:1780	Kategorio:1780
Katiguriya:1539	Kategorio:1539
Katiguriya:705	Kategorio:705
Katiguriya:1415	Kategorio:1415
Katiguriya:1647	Kategorio:1647
Katiguriya:1584	Kategorio:1584
Katiguriya:1590	Kategorio:1590
Katiguriya:1671	Kategorio:1671
Katiguriya:1644	Kategorio:1644
Katiguriya:1432	Kategorio:1432
Katiguriya:1274	Kategorio:1274
Katiguriya:1676	Kategorio:1676
Katiguriya:755	Kategorio:755
Katiguriya:Lanthanu rikch'aq q'illay	Kategorio:Lantanoidoj
Katiguriya:786	Kategorio:786
Katiguriya:804	Kategorio:804
Katiguriya:Wañusqa 814	Kategorio:Mortintoj en 814
Plantilla:ALB	Ŝablono:ALB
Katiguriya:843	Kategorio:843
Plantilla:AND	Ŝablono:AND
Plantilla:ARG	Ŝablono:ARG
Plantilla:ARM	Ŝablono:ARM
Katiguriya:855	Kategorio:855
Katiguriya:891	Kategorio:891
Katiguriya:3 ñiqin pachakwata	Kategorio:3-a jarcento
Katiguriya:11 ñiqin pachakwata	Kategorio:11-a jarcento
Katiguriya:17 ñiqin pachakwata	Kategorio:17-a jarcento
Katiguriya:10 ñiqin pachakwata	Kategorio:10-a jarcento
Katiguriya:7 ñiqin pachakwata	Kategorio:7-a jarcento
Katiguriya:1058	Kategorio:1058
Katiguriya:1092	Kategorio:1092
Katiguriya:1114	Kategorio:1114
Katiguriya:1122	Kategorio:1122
Katiguriya:1123	Kategorio:1123
Katiguriya:1130	Kategorio:1130
Katiguriya:1142	Kategorio:1142
Katiguriya:1158	Kategorio:1158
Katiguriya:Wañusqa 1179	Kategorio:Mortintoj en 1179
Katiguriya:1187	Kategorio:1187
Katiguriya:Urin Tirul	Kategorio:Sudtirolo
Katiguriya:1202	Kategorio:1202
Plantilla:BDI	Ŝablono:BDI
Plantilla:BGR	Ŝablono:BGR
Plantilla:BHS	Ŝablono:BHS
Plantilla:BLR	Ŝablono:BLR
Katiguriya:1284	Kategorio:1284
Katiguriya:1291	Kategorio:1291
Katiguriya:1299	Kategorio:1299
Katiguriya:1312	Kategorio:1312
Katiguriya:Wañusqa 1324	Kategorio:Mortintoj en 1324
Katiguriya:1345	Kategorio:1345
Katiguriya:1363	Kategorio:1363
Katiguriya:Riqyun (Ransiya)	Kategorio:Regionoj de Francio
Punku p'anqa: Kawsay yachay	Portalo:Biologio
Katiguriya:1402	Kategorio:1402
Katiguriya:1403	Kategorio:1403
Katiguriya:1407	Kategorio:1407
Katiguriya:1409	Kategorio:1409
Katiguriya:1410	Kategorio:1410
Katiguriya:1411	Kategorio:1411
Katiguriya:1412	Kategorio:1412
Katiguriya:1416	Kategorio:1416
Katiguriya:1423	Kategorio:1423
Katiguriya:1425	Kategorio:1425
Katiguriya:1427	Kategorio:1427
Katiguriya:138 kñ	Kategorio:138 a.K.
Katiguriya:1438	Kategorio:1438
Katiguriya:1441	Kategorio:1441
Katiguriya:1442	Kategorio:1442
Katiguriya:1444	Kategorio:1444
Katiguriya:Kurku kallpanchaq (Mama llaqta)	Kategorio:Sportistoj laŭ landoj
Katiguriya:1446	Kategorio:1446
Katiguriya:1448	Kategorio:1448
Katiguriya:1454	Kategorio:1454
Katiguriya:1455	Kategorio:1455
Katiguriya:1459	Kategorio:1459
Katiguriya:1461	Kategorio:1461
Katiguriya:1469	Kategorio:1469
Katiguriya:1477	Kategorio:1477
Katiguriya:1502	Kategorio:1502
Katiguriya:1484	Kategorio:1484
Katiguriya:1485	Kategorio:1485
Plantilla:CIV	Ŝablono:CIV
Katiguriya:1487	Kategorio:1487
Katiguriya:1488	Kategorio:1488
Katiguriya:1489	Kategorio:1489
Katiguriya:1492	Kategorio:1492
Katiguriya:Wañusqa 1493	Kategorio:Mortintoj en 1493
Plantilla:CRI	Ŝablono:CRI
Katiguriya:1495	Kategorio:1495
Plantilla:CYP	Ŝablono:CYP
Katiguriya:Wañusqa 1506	Kategorio:Mortintoj en 1506
Katiguriya:1515	Kategorio:1515
Katiguriya:1518	Kategorio:1518
Katiguriya:Wañusqa 1527	Kategorio:Mortintoj en 1527
Katiguriya:Wañusqa 1528	Kategorio:Mortintoj en 1528
Katiguriya:1533	Kategorio:1533
Katiguriya:Wañusqa 1533	Kategorio:Mortintoj en 1533
Katiguriya:1535	Kategorio:1535
Katiguriya:1537	Kategorio:1537
Katiguriya:1540	Kategorio:1540
Katiguriya:Wañusqa 1543	Kategorio:Mortintoj en 1543
Katiguriya:1546	Kategorio:1546
Katiguriya:1551	Kategorio:1551
Katiguriya:1552	Kategorio:1552
Katiguriya:1555	Kategorio:1555
Katiguriya:Wañusqa 1559	Kategorio:Mortintoj en 1559
Katiguriya:Kawsay chaqllisinchi	Kategorio:Biokemio
Katiguriya:1561	Kategorio:1561
Katiguriya:1563	Kategorio:1563
Katiguriya:Kusituy (Mama llaqta)	Kategorio:Muzikaj grupoj laŭ nacieco
Katiguriya:1566	Kategorio:1566
Katiguriya:Wañusqa 1566	Kategorio:Mortintoj en 1566
Katiguriya:1569	Kategorio:1569
Katiguriya:1572	Kategorio:1572
Katiguriya:Wañusqa 1572	Kategorio:Mortintoj en 1572
Katiguriya:1575	Kategorio:1575
Katiguriya:Inka	Kategorio:Inkaoj
Katiguriya:1578	Kategorio:1578
Katiguriya:1580	Kategorio:1580
Katiguriya:1582	Kategorio:1582
Katiguriya:Wañusqa 1582	Kategorio:Mortintoj en 1582
Katiguriya:1595	Kategorio:1595
Katiguriya:1605	Kategorio:1605
Katiguriya:1607	Kategorio:1607
Katiguriya:1611	Kategorio:1611
Katiguriya:1615	Kategorio:1615
Katiguriya:1618	Kategorio:1618
Katiguriya:1620	Kategorio:1620
Katiguriya:Wañusqa 1620	Kategorio:Mortintoj en 1620
Katiguriya:1622	Kategorio:1622
Katiguriya:1624	Kategorio:1624
Katiguriya:1626	Kategorio:1626
Katiguriya:1629	Kategorio:1629
Katiguriya:1631	Kategorio:1631
Katiguriya:1633	Kategorio:1633
Katiguriya:1635	Kategorio:1635
Katiguriya:1637	Kategorio:1637
Katiguriya:1640	Kategorio:1640
Katiguriya:Wañusqa 1640	Kategorio:Mortintoj en 1640
Katiguriya:1642	Kategorio:1642
Katiguriya:Wañusqa 1642	Kategorio:Mortintoj en 1642
Katiguriya:1649	Kategorio:1649
Katiguriya:1652	Kategorio:1652
Katiguriya:1657	Kategorio:1657
Katiguriya:1659	Kategorio:1659
Katiguriya:Wañusqa 1660	Kategorio:Mortintoj en 1660
Katiguriya:1665	Kategorio:1665
Katiguriya:1668	Kategorio:1668
Katiguriya:1669	Kategorio:1669
Katiguriya:1678	Kategorio:1678
Katiguriya:1686	Kategorio:1686
Katiguriya:1693	Kategorio:1693
Katiguriya:1696	Kategorio:1696
Katiguriya:1699	Kategorio:1699
Katiguriya:1705	Kategorio:1705
Katiguriya:1706	Kategorio:1706
Katiguriya:1711	Kategorio:1711
Katiguriya:Wañusqa 1715	Kategorio:Mortintoj en 1715
Katiguriya:1720	Kategorio:1720
Katiguriya:1722	Kategorio:1722
Katiguriya:1726	Kategorio:1726
Katiguriya:Wañusqa 1727	Kategorio:Mortintoj en 1727
Katiguriya:1730	Kategorio:1730
Katiguriya:Wañusqa 1731	Kategorio:Mortintoj en 1731
Katiguriya:Wañusqa 1735	Kategorio:Mortintoj en 1735
Katiguriya:1739	Kategorio:1739
Katiguriya:Wañusqa 1741	Kategorio:Mortintoj en 1741
Katiguriya:1751	Kategorio:1751
Katiguriya:Wañusqa 1755	Kategorio:Mortintoj en 1755
Katiguriya:Wañusqa 1756	Kategorio:Mortintoj en 1756
Katiguriya:Wañusqa 1759	Kategorio:Mortintoj en 1759
Katiguriya:1764	Kategorio:1764
Katiguriya:1765	Kategorio:1765
Katiguriya:1766	Kategorio:1766
Katiguriya:1767	Kategorio:1767
Katiguriya:Wañusqa 1767	Kategorio:Mortintoj en 1767
Katiguriya:1769	Kategorio:1769
Katiguriya:1775	Kategorio:1775
Katiguriya:1779	Kategorio:1779
Katiguriya:Wañusqa 1781	Kategorio:Mortintoj en 1781
Katiguriya:Wañusqa 1782	Kategorio:Mortintoj en 1782
Katiguriya:Paqarisqa 9 ñiqin pachakwatapi kñ	Kategorio:Naskiĝintoj en la 9-a jarcento a.K.
Katiguriya:Pulitika rakiy (Italya)	Kategorio:Teritoria organizado de Italio
Katiguriya:Allpamanta yachaykuna (Italya)	Kategorio:Geografio de Italio
Katiguriya:Wañusqa 1790	Kategorio:Mortintoj en 1790
Katiguriya:Simi kapchiy (Mama llaqta)	Kategorio:Literaturo laŭ nacieco
Katiguriya:Sardegna	Kategorio:Sardio
Katiguriya:Allpamanta yachaykuna (Iwrupa)	Kategorio:Geografio de Eŭropo
Katiguriya:Pulitiku (Kinya)	Kategorio:Kenjaj politikistoj
Katiguriya:Suyu (Alimanya)	Kategorio:Federaciaj landoj de Germanio
Katiguriya:Florida suyu	Kategorio:Florido
Katiguriya:1778	Kategorio:1778
Katiguriya:Tukuy runakunap qhapaq kaynin (Hukllachasqa Amirika Suyukuna)	Kategorio:Mondaj heredaĵoj en Usono
Katiguriya:Wiñay kawsay (Alimanya)	Kategorio:Historio de Germanio
Plantilla:EST	Ŝablono:EST
Katiguriya:Abruzzo	Kategorio:Abruco
Katiguriya:Nevada suyu	Kategorio:Nevado
Katiguriya:Nebraska suyu	Kategorio:Nebrasko
Katiguriya:North Dakota suyu	Kategorio:Norda Dakoto
Katiguriya:New Mexico suyu	Kategorio:Nov-Meksiko
Katiguriya:New York suyu	Kategorio:Nov-Jorkio
Katiguriya:New Jersey suyu	Kategorio:Nov-Ĵerzejo
Katiguriya:New Hampshire suyu	Kategorio:Nov-Hampŝiro
Katiguriya:Rhode Island suyu	Kategorio:Rod-Insulo
Katiguriya:Louisiana suyu	Kategorio:Luiziano
Katiguriya:Maryland suyu	Kategorio:Marilando
Katiguriya:Maine suyu	Kategorio:Majno
Katiguriya:Minnesota suyu	Kategorio:Minesoto
Katiguriya:Michigan suyu	Kategorio:Miĉigano
Katiguriya:Mississippi suyu	Kategorio:Misisipio
Katiguriya:Missouri suyu	Kategorio:Misurio
Katiguriya:Idaho suyu	Kategorio:Idaho
Katiguriya:Iowa suyu	Kategorio:Iovao
Katiguriya:Arkansas suyu	Kategorio:Arkansaso
Katiguriya:Alaska suyu	Kategorio:Alasko
Katiguriya:Arizona suyu	Kategorio:Arizono
Katiguriya:Alabama suyu	Kategorio:Alabamo
Katiguriya:Oregon suyu	Kategorio:Oregono
Katiguriya:Ohio suyu	Kategorio:Ohio
Katiguriya:Indiana suyu	Kategorio:Indianio
Katiguriya:Illinois suyu	Kategorio:Ilinojo
Katiguriya:Kansas suyu	Kategorio:Kansaso
Katiguriya:California suyu	Kategorio:Kalifornio
Katiguriya:Kentucky suyu	Kategorio:Kentukio
Katiguriya:Connecticut suyu	Kategorio:Konektikuto
Katiguriya:Colorado suyu	Kategorio:Koloradio
Katiguriya:Texas suyu	Kategorio:Teksaso
Katiguriya:Pennsylvania suyu	Kategorio:Pensilvanio
Katiguriya:Hawaii suyu	Kategorio:Havajo
Plantilla:QAT	Ŝablono:QAT
Plantilla:RUS	Ŝablono:RUS
Katiguriya:Tawantinsuyu iñiy	Kategorio:Inkaa mitologio
Plantilla:TGO	Ŝablono:TGO
Plantilla:AUT	Ŝablono:AUT
Katiguriya:Qillqaq (Aphrika)	Kategorio:Afrikaj verkistoj
Katiguriya:Qillqaq (Chili)	Kategorio:Ĉiliaj verkistoj
Katiguriya:Qillqaq (Alimanya)	Kategorio:Germanaj verkistoj
Katiguriya:Qillqaq (Ransiya)	Kategorio:Francaj verkistoj
Katiguriya:Qillqaq (Grisya)	Kategorio:Grekaj verkistoj
Katiguriya:Qillqaq (Ilanda)	Kategorio:Irlandaj verkistoj
Katiguriya:Qillqaq (Italya)	Kategorio:Italaj verkistoj
Plantilla:CHL	Ŝablono:CHL
Katiguriya:340	Kategorio:340
Plantilla:GRD	Ŝablono:GRD
Katiguriya:Qillqaq (Kuba)	Kategorio:Kubaj verkistoj
Katiguriya:Qillqaq (Rusiya)	Kategorio:Rusiaj verkistoj
Katiguriya:Qillqaq (Ispaña)	Kategorio:Hispanaj verkistoj
Katiguriya:Qillqaq (Chiksuyu)	Kategorio:Ĉeĥaj verkistoj
Katiguriya:Qillqaq (Uruwayi)	Kategorio:Urugvajaj verkistoj
Katiguriya:Qillqaq (Hukllachasqa Amirika Suyukuna)	Kategorio:Usonaj verkistoj
Katiguriya:Piluta hayt'ay klubkuna (Mama llaqta)	Kategorio:Futbalteamoj laŭ landoj
Plantilla:SYR	Ŝablono:SYR
Katiguriya:1111	Kategorio:1111
Plantilla:CHN	Ŝablono:CHN
Katiguriya:Wasichay kamayuqkuna	Kategorio:Arkitektoj
Katiguriya:Wañusqa 1928	Kategorio:Mortintoj en 1928
Katiguriya:Wañusqa 1937	Kategorio:Mortintoj en 1937
Katiguriya:Wañusqa 1950	Kategorio:Mortintoj en 1950
Katiguriya:Angula	Kategorio:Angolo
Katiguriya:Binin	Kategorio:Benino
Katiguriya:Butswana	Kategorio:Bocvano
Katiguriya:Burundi	Kategorio:Burundo
Katiguriya:Yiwuti	Kategorio:Ĝibutio
Katiguriya:Marphil Chala	Kategorio:Ebur-Bordo
Katiguriya:Chawpipacha Khiniya	Kategorio:Ekvatora Gvineo
Katiguriya:Iritriya	Kategorio:Eritreo
Katiguriya:Gabun	Kategorio:Gabono
Katiguriya:Gambya	Kategorio:Gambio
Katiguriya:Khiniya	Kategorio:Gvineo
Katiguriya:Khiniya-Wisaw	Kategorio:Gvineo Bisaŭa
Katiguriya:Kamirun	Kategorio:Kameruno
Katiguriya:Q'umir Kawu	Kategorio:Kabo-Verdo
Katiguriya:Kinya	Kategorio:Kenjo
Katiguriya:Kumurakuna	Kategorio:Komoroj
Katiguriya:Libya	Kategorio:Libio
Katiguriya:Madagaskar	Kategorio:Madagaskaro
Katiguriya:Malawi	Kategorio:Malavio
Katiguriya:Mali	Kategorio:Malio
Katiguriya:Maruku	Kategorio:Maroko
Katiguriya:Mawrisyu	Kategorio:Maŭricio
Katiguriya:1451	Kategorio:1451
Katiguriya:Musambik	Kategorio:Mozambiko
Katiguriya:Namiwya	Kategorio:Namibio
Katiguriya:Niqir	Kategorio:Niĝero
Katiguriya:Kungu Ripuwlika	Kategorio:Respubliko Kongo
Katiguriya:Rwanda	Kategorio:Ruando
Katiguriya:1480	Kategorio:1480
Katiguriya:Emilia-Romagna	Kategorio:Emilio-Romanjo
Katiguriya:1486	Kategorio:1486
Katiguriya:1587	Kategorio:1587
Katiguriya:1589	Kategorio:1589
Katiguriya:1599	Kategorio:1599
Katiguriya:1602	Kategorio:1602
Katiguriya:1609	Kategorio:1609
Katiguriya:1610	Kategorio:1610
Katiguriya:Wañusqa 1610	Kategorio:Mortintoj en 1610
Katiguriya:1613	Kategorio:1613
Katiguriya:Allpamanta yachaykuna (Pulunya)	Kategorio:Geografio de Pollando
Katiguriya:Wañusqa 1635	Kategorio:Mortintoj en 1635
Katiguriya:Musika (Pulunya)	Kategorio:Pola muziko
Katiguriya:1666	Kategorio:1666
Katiguriya:Wañusqa 1672	Kategorio:Mortintoj en 1672
Katiguriya:1674	Kategorio:1674
Katiguriya:Pulitiku (Pulunya)	Kategorio:Polaj politikistoj
Katiguriya:Fauna (Piruw)	Kategorio:Faŭno de Peruo
Plantilla:ENG	Ŝablono:ENG
Katiguriya:Wañusqa 2011	Kategorio:Mortintoj en 2011
Plantilla:HTI	Ŝablono:HTI
Plantilla:TCA	Ŝablono:TCA
Katiguriya:Delaware suyu	Kategorio:Delavaro
Katiguriya:Georgia suyu	Kategorio:Georgio
Katiguriya:Montana suyu	Kategorio:Montano
Katiguriya:Takiq (Italya)	Kategorio:Italaj kantistoj
Plantilla:IRQ	Ŝablono:IRQ
Katiguriya:Wañusqa 1541	Kategorio:Mortintoj en 1541
Katiguriya:Wañusqa 1546	Kategorio:Mortintoj en 1546
Katiguriya:1713	Kategorio:1713
