An Afraic	Afriko
Catagóir:Básanna i 1957	Kategorio:Mortintoj en 1957
Catagóir:Básanna i 1958	Kategorio:Mortintoj en 1958
Catagóir:Básanna i 1964	Kategorio:Mortintoj en 1964
Catagóir:Básanna i 1965	Kategorio:Mortintoj en 1965
Catagóir:Básanna i 1967	Kategorio:Mortintoj en 1967
Catagóir:Básanna i 1968	Kategorio:Mortintoj en 1968
Catagóir:Básanna i 1970	Kategorio:Mortintoj en 1970
Catagóir:Básanna i 1971	Kategorio:Mortintoj en 1971
Catagóir:Básanna i 1972	Kategorio:Mortintoj en 1972
Catagóir:Básanna i 1973	Kategorio:Mortintoj en 1973
Catagóir:Básanna i 1977	Kategorio:Mortintoj en 1977
Catagóir:Básanna i 1982	Kategorio:Mortintoj en 1982
Catagóir:Básanna i 1983	Kategorio:Mortintoj en 1983
Catagóir:Básanna i 1984	Kategorio:Mortintoj en 1984
Catagóir:Básanna i 1985	Kategorio:Mortintoj en 1985
Catagóir:Básanna i 1987	Kategorio:Mortintoj en 1987
Catagóir:Básanna i 1989	Kategorio:Mortintoj en 1989
Catagóir:Básanna i 1990	Kategorio:Mortintoj en 1990
Catagóir:Básanna i 1995	Kategorio:Mortintoj en 1995
Catagóir:Básanna i 1996	Kategorio:Mortintoj en 1996
Catagóir:Básanna i 1997	Kategorio:Mortintoj en 1997
Catagóir:Básanna i 2000	Kategorio:Mortintoj en 2000
Catagóir:Básanna i 2001	Kategorio:Mortintoj en 2001
Catagóir:Básanna i 2002	Kategorio:Mortintoj en 2002
Catagóir:Básanna i 2003	Kategorio:Mortintoj en 2003
Catagóir:Básanna i 2004	Kategorio:Mortintoj en 2004
Catagóir:Básanna i 2006	Kategorio:Mortintoj en 2006
Catagóir:Laochra	Kategorio:Herooj
Catagóir:Tonnta	Kategorio:Ondoj
Catagóir:Polaitíocht na Brasaíle	Kategorio:Politiko de Brazilo
Catagóir:Polaitíocht na hAstráile	Kategorio:Politiko de Aŭstralio
Catagóir:Stair na Gréige	Kategorio:Historio de Grekio
Catagóir:Stair na hÉigipte	Kategorio:Historio de Egiptio
Catagóir:Stair na Portaingéile	Kategorio:Historio de Portugalio
Catagóir:Polaitíocht na Rúise	Kategorio:Politiko de Rusio
Catagóir:Stair na hAirgintíne	Kategorio:Historio de Argentino
Catagóir:Stair na Spáinne	Kategorio:Historio de Hispanio
Catagóir:Fealsúna Éireannacha	Kategorio:Irlandaj filozofoj
Catagóir:Creideamh in Éirinn	Kategorio:Religio en Irlando
Catagóir:Fealsúna Albanacha	Kategorio:Skotaj filozofoj
Catagóir:Spórt in Éirinn	Kategorio:Sporto en Irlando
Catagóir:Spórt sa tSeapáin	Kategorio:Sporto en Japanio
Catagóir:Sacar i bPoblacht na hÉireann	Kategorio:Futbalo en Irlando
Catagóir:Náisiúntacht	Kategorio:Nacieco
Teimpléad:Úsáideoir ca-2	Ŝablono:Vikipediisto ca-2
Catagóir:Tíreolaíocht na Spáinne	Kategorio:Geografio de Hispanio
Teimpléad:Úsáideoir ca-3	Ŝablono:Vikipediisto ca-3
Catagóir:Tíreolaíocht na hÍoslainne	Kategorio:Geografio de Islando
Catagóir:Tíreolaíocht na hÉireann	Kategorio:Geografio de Irlando
Catagóir:Tíreolaíocht na Breataine Bige	Kategorio:Geografio de Kimrio
Catagóir:Tíreolaíocht na Fionlainne	Kategorio:Geografio de Finnlando
Teimpléad:Úsáideoir pt	Ŝablono:Vikipediisto pt
Teimpléad:Úsáideoir ru-1	Ŝablono:Vikipediisto ru-1
Catagóir:Aibhneacha Éireannacha	Kategorio:Riveroj en Irlando
Catagóir:Atáirgeadh daonna	Kategorio:Homa reproduktado
Catagóir:An tSaimbia	Kategorio:Zambio
Catagóir:An tSeineagáil	Kategorio:Senegalo
Catagóir:Ballaonaid na hÚcráine	Kategorio:Administracia divido de Ukrainio
Catagóir:Polaitíocht na Fraince	Kategorio:Politiko en Francio
Catagóir:Stair na Rúise	Kategorio:Historio de Rusio
Catagóir:Stair na Liotuáine	Kategorio:Historio de Litovio
Catagóir:Stair Mheicsiceo	Kategorio:Historio de Meksiko
Catagóir:Stair na Sualainne	Kategorio:Historio de Svedio
Catagóir:Spórt na Stát Aontaithe	Kategorio:Sporto en Usono
Catagóir:Spórt sa Spáinn	Kategorio:Sporto en Hispanio
Catagóir:Spórt na Fraince	Kategorio:Sporto en Francio
Catagóir:Na Séiséil	Kategorio:Sejŝeloj
Catagóir:Siarra Leon	Kategorio:Siera-Leono
Catagóir:An tSiombáib	Kategorio:Zimbabvo
Catagóir:Maighnéadas	Kategorio:Magnetismo
Catagóir:Tíreolaíocht na Rúise	Kategorio:Geografio de Rusio
Catagóir:Tíreolaíocht na hAlban	Kategorio:Geografio de Skotlando
Catagóir:Tíreolaíocht na Ríochta Aontaithe	Kategorio:Geografio de Britio
Catagóir:An tSomáil	Kategorio:Somalio
Catagóir:Sead	Kategorio:Ĉado
Catagóir:Uganda	Kategorio:Ugando
Catagóir:Poblacht na hAfraice Láir	Kategorio:Centr-Afrika Respubliko
Catagóir:Cogaí saoirse	Kategorio:Militoj de sendependeco
Catagóir:Spásairí	Kategorio:Kosmonaŭtoj
Catagóir:Ceoldráma	Kategorio:Opero
Catagóir:Comórtas Amhránaíochta na hEoraifíse	Kategorio:Eŭrovido-Kantokonkurso
Catagóir:Oideachas in Éirinn	Kategorio:Edukado en Irlando
Catagóir:Impirí Rómhánacha	Kategorio:Romiaj imperiestroj
Catagóir:Daoine Ioruacha	Kategorio:Norvegoj
Catagóir:Daoine Nua-Shéalannacha	Kategorio:Novzelandanoj
Catagóir:Daoine Bealarúiseacha	Kategorio:Belorusoj
Catagóir:Amhránaíocht	Kategorio:Kantado
Catagóir:Daoine Brasaíleacha	Kategorio:Brazilanoj
Catagóir:Daoine Airgintíneacha	Kategorio:Argentinanoj
Catagóir:Daoine Indiacha	Kategorio:Baratanoj
Catagóir:Daoine Seapánacha	Kategorio:Japanoj
Catagóir:Daoine Ceanadacha	Kategorio:Kanadanoj
Catagóir:Daoine Céiniacha	Kategorio:Kenjanoj
Catagóir:Seandálaithe	Kategorio:Arkeologoj
Catagóir:Innealtóirí	Kategorio:Inĝenieroj
Catagóir:Lucht gnó	Kategorio:Entreprenistoj
Catagóir:Coirpigh	Kategorio:Krimuloj
Catagóir:Eitleoirí	Kategorio:Pilotoj
Catagóir:Teangeolaithe	Kategorio:Lingvistoj
Catagóir:Imreoirí sacair na hAirgintíne	Kategorio:Argentinaj futbalistoj
Catagóir:Príomh-Airí na Ríochta Aontaithe	Kategorio:Ĉefministroj de Britio
Catagóir:Imreoirí sacair na Brasaíle	Kategorio:Brazilaj futbalistoj
Catagóir:Na hOileáin Fhilipíneacha	Kategorio:Filipinoj
Catagóir:Seirbhísí éigeandála	Kategorio:Porkrizaj servoj
Catagóir:Ailtirí Fionlannacha	Kategorio:Finnlandaj arkitektoj
Catagóir:Úsáideoir nl	Kategorio:Vikipediisto nl
Catagóir:Eolaithe Meiriceánacha	Kategorio:Usonaj sciencistoj
Catagóir:Úsáideoir zh-1	Kategorio:Vikipediisto zh-1
Catagóir:Úsáideoir zh-3	Kategorio:Vikipediisto zh-3
Catagóir:Úsáideoir zh-2	Kategorio:Vikipediisto zh-2
Catagóir:Litríocht na Gréige	Kategorio:Literaturo en antikva greka lingvo
Catagóir:Baile Átha Cliath	Kategorio:Dublino
Catagóir:Cearta úinéireachta intleachtaí	Kategorio:Juro pri intelekta proprieto
Catagóir:Dlí Rómhánach	Kategorio:Romia juro
Catagóir:Aigéid	Kategorio:Acidoj
Catagóir:Drámadóirí Éireannacha	Kategorio:Irlandaj dramistoj
Catagóir:Drámadóirí Iodálacha	Kategorio:Italaj dramistoj
Catagóir:Meicnic neamhaí	Kategorio:Ĉiela mekaniko
Catagóir:Meicnic	Kategorio:Mekaniko
Catagóir:Grúpaí eitneacha san Eoraip	Kategorio:Etnoj en Eŭropo
Catagóir:Racghrúpaí Sasanacha	Kategorio:Anglaj rokmuzikaj grupoj
Catagóir:Racghrúpaí Meiriceánacha	Kategorio:Usonaj rokmuzikaj grupoj
Catagóir:An Airméin	Kategorio:Armenio
Catagóir:Bairéin	Kategorio:Barejno
Catagóir:Cispheileadóirí Meiriceánacha	Kategorio:Usonaj korbopilkistoj
Catagóir:An Bhútain	Kategorio:Butano
Catagóir:Filí Sasanacha	Kategorio:Anglaj poetoj
Catagóir:Filí Meiriceánacha	Kategorio:Usonaj poetoj
Catagóir:Radaighníomhaíocht	Kategorio:Radiaktiveco
Catagóir:Fisiceoirí Gearmánacha	Kategorio:Germanaj fizikistoj
Catagóir:Sceimhlitheoireacht	Kategorio:Terorismo
Catagóir:Fisiceoirí Briotanacha	Kategorio:Britaj fizikistoj
Catagóir:Fisiceoirí Iodálacha	Kategorio:Italaj fizikistoj
Catagóir:Fisiceoirí Francacha	Kategorio:Francaj fizikistoj
Catagóir:Pápa Eoin Pól II	Kategorio:Johano Paŭlo la 2-a
Catagóir:Ceapadóirí Meiriceánacha	Kategorio:Usonaj inventistoj
Catagóir:Margaíocht	Kategorio:Merkatado
Catagóir:Garchabhair	Kategorio:Unua helpo
Catagóir:Árachas	Kategorio:Asekuro
Catagóir:Aisteoirí Iodálacha	Kategorio:Italaj aktoroj
Catagóir:Tíortha de réir chóras rialaithe	Kategorio:Regnoj laŭ reĝimo
Catagóir:Atáirgeadh	Kategorio:Reproduktado
Catagóir:Múinteoirí	Kategorio:Instruistoj
Catagóir:Stáit chumannacha	Kategorio:Komunismaj ŝtatoj
Catagóir:Tairiscint	Kategorio:Movo
Catagóir:Scríbhneoireacht	Kategorio:Skribo
Catagóir:Airgeadas	Kategorio:Financoj
Catagóir:Loingseoireacht	Kategorio:Navigado
Catagóir:Polaitíocht na hEorpa	Kategorio:Politiko de Eŭropo
Catagóir:Ilchomórtais sacair	Kategorio:Futbalaj konkursoj
Catagóir:Ceimiceoirí Seapánacha	Kategorio:Japanaj kemiistoj
Catagóir:Cluichí comhraic	Kategorio:Luktosporto
Catagóir:Matamaiticeoirí Gearmánacha	Kategorio:Germanaj matematikistoj
Catagóir:Matamaiticeoirí Meiriceánacha	Kategorio:Usonaj matematikistoj
Catagóir:Matamaiticeoirí Eilvéiseacha	Kategorio:Svisaj matematikistoj
Catagóir:Teilifís	Kategorio:Televido
Catagóir:Filí na Sean-Róimhe	Kategorio:Romiaj poetoj
Catagóir:Filí na hÉireann	Kategorio:Irlandaj poetoj
Catagóir:An tSiria	Kategorio:Sirio
Catagóir:Básanna i 1945	Kategorio:Mortintoj en 1945
Catagóir:Filí Iodálacha	Kategorio:Italaj poetoj
Catagóir:Filí Francacha	Kategorio:Francaj poetoj
Catagóir:Básanna i 44 RC	Kategorio:Mortintoj en -44
Catagóir:Cispheil	Kategorio:Korbopilkado
Catagóir:Básanna i 1963	Kategorio:Mortintoj en 1963
Catagóir:Básanna i 1930	Kategorio:Mortintoj en 1930
Catagóir:Dealbhóirí	Kategorio:Skulptistoj
Catagóir:Polaiteoirí na Rúise	Kategorio:Politikistoj de Rusio
Catagóir:An Nollaig	Kategorio:Kristnasko
Catagóir:Aois	Kategorio:Jarcentoj
Catagóir:Péintéirí Francacha	Kategorio:Francaj pentristoj
Catagóir:Ciníochas	Kategorio:Rasismo
Catagóir:Teangeolaithe Meiriceánacha	Kategorio:Usonaj lingvistoj
Catagóir:Coireanna	Kategorio:Krimoj
Catagóir:Foréigean	Kategorio:Perforto
Catagóir:Úrscéalaithe Sasanacha	Kategorio:Anglaj romanistoj
Catagóir:Pianódóirí	Kategorio:Pianistoj
Catagóir:Staraithe Gearmánacha	Kategorio:Germanaj historiistoj
Catagóir:Barcelona	Kategorio:Barcelono
Catagóir:Cumadóirí Rúiseacha	Kategorio:Komponistoj de Rusio
Catagóir:Cumadóirí Francacha	Kategorio:Francaj komponistoj
Catagóir:Cumadóirí Gearmánacha	Kategorio:Germanaj komponistoj
Catagóir:Cumadóirí Ostaracha	Kategorio:Aŭstraj komponistoj
Catagóir:Ailtirí Iodálacha	Kategorio:Italaj arkitektoj
Catagóir:Cluichí Oilimpeacha	Kategorio:Olimpika disciplino
Catagóir:Fisiceoirí Danmhargacha	Kategorio:Danaj fizikistoj
Catagóir:Dealbhóirí Iodálacha	Kategorio:Italaj skulptistoj
Catagóir:Spásairí Meiriceánacha	Kategorio:Usonaj kosmonaŭtoj
Catagóir:Fisiceoirí Rúiseacha	Kategorio:Fizikistoj de Rusio
Catagóir:Fiseolaithe	Kategorio:Fiziologoj
Catagóir:Impirí Naofa Rómhánach	Kategorio:Imperiestroj de la Sankta Romia Imperio
Catagóir:Ceoltóirí Rúiseacha	Kategorio:Rusiaj muzikistoj
Catagóir:Ceoltóirí Sualannacha	Kategorio:Svedaj muzikistoj
Catagóir:Ceoltóirí Albanacha	Kategorio:Skotaj muzikistoj
Catagóir:Ceoltóirí Éireannacha	Kategorio:Irlandaj muzikistoj
Catagóir:Ceoltóirí Briotanacha	Kategorio:Britaj muzikistoj
Catagóir:Ceoltóirí Úcránacha	Kategorio:Ukrainaj muzikistoj
Catagóir:Ceoltóirí Iodálacha	Kategorio:Italaj muzikistoj
Catagóir:Ceoltóirí Ceanadacha	Kategorio:Kanadaj muzikistoj
Catagóir:Ceoltóirí Francacha	Kategorio:Francaj muzikistoj
Catagóir:Antraipeolaithe Meiriceánacha	Kategorio:Usonaj antropologoj
Catagóir:Scríbhneoirí Astrálacha	Kategorio:Aŭstraliaj verkistoj
Catagóir:Gínéiceolaíocht	Kategorio:Ginekologio
Catagóir:Slánuimhreacha	Kategorio:Entjeroj
Catagóir:Cumadóirí Iodálacha	Kategorio:Italaj komponistoj
Catagóir:Cumadóirí Ungáracha	Kategorio:Hungaraj komponistoj
Catagóir:Síciatracht	Kategorio:Psikiatrio
Catagóir:Teangacha Iaránacha	Kategorio:Irana lingvaro
Catagóir:Polaiteoirí na Gearmáine	Kategorio:Germanaj politikistoj
Catagóir:Ceoltóirí Gearmánacha	Kategorio:Germanaj muzikistoj
Catagóir:Polaiteoirí na Stát Aontaithe	Kategorio:Usonaj politikistoj
Catagóir:Síciatraithe Ostaracha	Kategorio:Aŭstraj psikiatroj
Catagóir:Réalteolaithe Beilgeacha	Kategorio:Belgaj astronomoj
Catagóir:Polaiteoirí na hÉireann	Kategorio:Irlandaj politikistoj
Catagóir:Básanna i 1988	Kategorio:Mortintoj en 1988
Catagóir:Daoine Rúiseacha	Kategorio:Rusoj
Catagóir:Polaiteoirí na hAstráile	Kategorio:Aŭstraliaj politikistoj
Catagóir:Daoine Albanacha	Kategorio:Skotoj
Catagóir:Polaiteoirí Iodálacha	Kategorio:Italaj politikistoj
Catagóir:Polaiteoirí na hIndia	Kategorio:Barataj politikistoj
Catagóir:Daoine Airméanacha	Kategorio:Personoj de Armenio
Catagóir:Daoine Peiriúcha	Kategorio:Peruanoj
Catagóir:Dealbhóirí Francacha	Kategorio:Francaj skulptistoj
Catagóir:Réalteolaithe Francacha	Kategorio:Francaj astronomoj
Catagóir:Carachtair fhicseanúla	Kategorio:Fikciuloj
Catagóir:Ceimiceoirí Francacha	Kategorio:Francaj kemiistoj
Catagóir:Daoine Éireannacha	Kategorio:Irlandanoj
Catagóir:Réalteolaithe Iodálacha	Kategorio:Italaj astronomoj
Catagóir:Matamaiticeoirí Francacha	Kategorio:Francaj matematikistoj
Catagóir:Fealsúna Gréagacha	Kategorio:Grekaj filozofoj
Catagóir:Fealsúna Gearmánacha	Kategorio:Germanaj filozofoj
Catagóir:Scríbhneoirí Albanacha	Kategorio:Skotaj verkistoj
Catagóir:Fealsúna Iodálacha	Kategorio:Italaj filozofoj
Catagóir:Ceapadóirí Francacha	Kategorio:Francaj inventistoj
Catagóir:Aisteoirí Sasanacha	Kategorio:Anglaj aktoroj
Catagóir:An Bhaváir	Kategorio:Bavario
Catagóir:Básanna i 1823	Kategorio:Mortintoj en 1823
Catagóir:Rac-cheol	Kategorio:Rok-muziko
Catagóir:Snagcheol	Kategorio:Ĵazo
Catagóir:Astaróidigh	Kategorio:Asteroidoj
Catagóir:Teangacha Ind-Eorpacha	Kategorio:Hindeŭropa lingvaro
Catagóir:Ceapadóirí Gearmánacha	Kategorio:Germanaj inventistoj
Catagóir:Taiscéalaithe Éireannacha	Kategorio:Irlandaj esploristoj
Catagóir:Taiscéalaithe Iodálacha	Kategorio:Italaj esploristoj
Catagóir:An tsúil	Kategorio:Okulo
Catagóir:Faireoga	Kategorio:Glandoj
Catagóir:Bitheolaithe Gearmánacha	Kategorio:Germanaj biologoj
Catagóir:Péintéirí Rúiseacha	Kategorio:Pentristoj de Rusio
Catagóir:Péintéirí Eilvéiseacha	Kategorio:Svisaj pentristoj
Catagóir:Péintéirí Seapánacha	Kategorio:Japanaj pentristoj
Catagóir:Lochanna na Rúise	Kategorio:Lagoj en Rusio
Catagóir:Aerfoirt	Kategorio:Flughavenoj
Catagóir:Daoine a rugadh i 1838	Kategorio:Naskiĝintoj en 1838
Catagóir:Básanna i 1924	Kategorio:Mortintoj en 1924
Catagóir:Básanna i 1960	Kategorio:Mortintoj en 1960
Catagóir:Básanna i 1981	Kategorio:Mortintoj en 1981
Catagóir:Innealtóirí Iodálacha	Kategorio:Italaj inĝenieroj
Catagóir:Básanna i 1999	Kategorio:Mortintoj en 1999
Catagóir:Dúile ceimiceacha	Kategorio:Kemiaj elementoj
Catagóir:Nua-Eabhrac (cathair)	Kategorio:Novjorko
Catagóir:Lúthchleasaithe	Kategorio:Atletoj
Catagóir:Imreoirí gailf	Kategorio:Golfludistoj
Catagóir:Ceimiceoirí Iodálacha	Kategorio:Italaj kemiistoj
Catagóir:Polaiteoirí na hÉigipte	Kategorio:Egiptaj politikistoj
Catagóir:Rothaithe Meiriceánacha	Kategorio:Usonaj biciklistoj
Catagóir:Ceoltóirí Breatnacha	Kategorio:Kimraj muzikistoj
Catagóir:Amhránaithe Sasanacha	Kategorio:Anglaj kantistoj
Catagóir:Ceoltóirí Astrálacha	Kategorio:Aŭstraliaj muzikistoj
Catagóir:Rac-cheoltóirí	Kategorio:Rok-muzikistoj
Catagóir:Ceoltóirí snagcheoil	Kategorio:Ĵazmuzikistoj
Catagóir:Fealsúna Sasanacha	Kategorio:Anglaj filozofoj
Catagóir:Fealsúna Francacha	Kategorio:Francaj filozofoj
Catagóir:Fealsúna Meiriceánacha	Kategorio:Usonaj filozofoj
Catagóir:Fisiceoirí Meiriceánacha	Kategorio:Usonaj fizikistoj
Catagóir:Fisiceoirí Sasanacha	Kategorio:Anglaj fizikistoj
Catagóir:Imreoirí sacair na Spáinne	Kategorio:Hispaniaj futbalistoj
Catagóir:Dornálaithe	Kategorio:Boksistoj
Catagóir:Bithcheimiceoirí Polannacha	Kategorio:Polaj biokemiistoj
Catagóir:Fisiceoirí Polannacha	Kategorio:Polaj fizikistoj
Catagóir:Dírbheathaisnéisí	Kategorio:Membiografiaj libroj
Catagóir:Eolaithe Sasanacha	Kategorio:Anglaj sciencistoj
Catagóir:Eolaithe	Kategorio:Sciencistoj
Catagóir:Snámhóirí	Kategorio:Naĝistoj
Catagóir:Taiscéalaithe	Kategorio:Esploristoj
Catagóir:Taiscéalaithe Sasanacha	Kategorio:Anglaj esploristoj
Catagóir:Úrscéalaithe	Kategorio:Romanistoj
Catagóir:Aisteoirí Seapánacha	Kategorio:Japanaj aktoroj
Catagóir:Aisteoirí Astrálacha	Kategorio:Aŭstraliaj aktoroj
Catagóir:Aisteoirí Ceanadacha	Kategorio:Kanadaj aktoroj
Catagóir:Sainchreidimh Críostaí	Kategorio:Kristanaj konfesioj
Catagóir:Sasana Nua	Kategorio:Nov-Anglio
Catagóir:Ailt le hathbreithniú de dhíth	Kategorio:Artikoloj sen sufiĉaj fontoj
Catagóir:Duais Nobel	Kategorio:Nobel-premio
Catagóir:Sláinte gnéis	Kategorio:Seksa sano
Catagóir:Threskiornithidae	Kategorio:Threskiornithidae
Catagóir:Feirmeoireacht déiríochta	Kategorio:Laktoprilaboro
Catagóir:Stair na hÉireann	Kategorio:Historio de Irlando
Catagóir:Íomhánna NASA	Kategorio:Bildoj de NASA
Catagóir:Sreabháin choirp	Kategorio:Korpaj likvaĵoj
Catagóir:Tíreolaíocht Shasana	Kategorio:Geografio de Anglio
Catagóir:Tíreolaíocht na Fraince	Kategorio:Geografio de Francio
Catagóir:An tSeoirsia	Kategorio:Kartvelio
Catagóir:An Chambóid	Kategorio:Kamboĝo
Catagóir:Daoine Astrálacha	Kategorio:Aŭstralianoj
Catagóir:Amhránaithe Meiriceánacha	Kategorio:Usonaj kantistoj
Catagóir:Cairdeolaíocht	Kategorio:Kardiologio
Teimpléad:Ga	Ŝablono:Ga
Catagóir:Giotáraithe Éireannacha	Kategorio:Irlandaj gitaristoj
Catagóir:Matamaiticeoirí Iodálacha	Kategorio:Italaj matematikistoj
Catagóir:Baictéireolaíocht	Kategorio:Bakteriologio
Catagóir:Oigheareolaíocht	Kategorio:Glaciologio
Catagóir:Filí Gearmánacha	Kategorio:Germanaj poetoj
Catagóir:Foclóireolaíocht	Kategorio:Leksikologio
Catagóir:Filí Eilvéiseacha	Kategorio:Svisaj poetoj
Catagóir:Bitheolaithe Sasanacha	Kategorio:Anglaj biologoj
Catagóir:Iriseoirí Meiriceánacha	Kategorio:Usonaj ĵurnalistoj
Catagóir:Ceoltóirí Colómacha	Kategorio:Kolombiaj muzikistoj
Catagóir:Polaiteoirí Colómacha	Kategorio:Kolombiaj politikistoj
Catagóir:Básanna i 1835	Kategorio:Mortintoj en 1835
Catagóir:Básanna i 1839	Kategorio:Mortintoj en 1839
Catagóir:Básanna i 1848	Kategorio:Mortintoj en 1848
Catagóir:Básanna i 1868	Kategorio:Mortintoj en 1868
Catagóir:Básanna i 1874	Kategorio:Mortintoj en 1874
Catagóir:Básanna i 1888	Kategorio:Mortintoj en 1888
Catagóir:Básanna i 1929	Kategorio:Mortintoj en 1929
Catagóir:Básanna i 1933	Kategorio:Mortintoj en 1933
Catagóir:Básanna i 1961	Kategorio:Mortintoj en 1961
Catagóir:Vanuatú	Kategorio:Vanuatuo
Catagóir:Cathanna de réir cogaidh	Kategorio:Bataloj laŭ militoj
Catagóir:Stair na Ríochta Aontaithe	Kategorio:Historio de Britio
Catagóir:Spórt na Ríochta Aontaithe	Kategorio:Sporto en Britio
Catagóir:Spórt i Sasana	Kategorio:Sporto en Anglio
Catagóir:Láithreoirí teilifíse	Kategorio:Televidprezentistoj
Catagóir:Iamáice	Kategorio:Jamajko
Catagóir:Ríthe na nAlbanach	Kategorio:Skotlandaj reĝoj
Catagóir:Drámadóirí Ioruacha	Kategorio:Norvegaj dramistoj
Catagóir:Eitleoirí Meiriceánacha	Kategorio:Usonaj pilotoj
Catagóir:Iriseoirí	Kategorio:Ĵurnalistoj
Catagóir:Iriseoireacht	Kategorio:Ĵurnalistiko
Catagóir:Polaiteoirí na Sean-Róimhe	Kategorio:Romiaj politikistoj
Catagóir:Réalteolaithe Sasanacha	Kategorio:Britaj astronomoj
Catagóir:Catar	Kategorio:Kataro
Catagóir:An Chirgeastáin	Kategorio:Kirgizio
Catagóir:An Chóiré	Kategorio:Koreio
Catagóir:Cuáit	Kategorio:Kuvajto
Catagóir:Laos	Kategorio:Laoso
Catagóir:An Liobáin	Kategorio:Libano
Catagóir:Oileáin Mhaildíve	Kategorio:Maldivoj
Catagóir:Maenmar	Kategorio:Birmo
Catagóir:Neipeal	Kategorio:Nepalo
Catagóir:Óman	Kategorio:Omano
Catagóir:Srí Lanca	Kategorio:Sri-Lanko
Catagóir:Fiseolaíocht ainmhithe	Kategorio:Animala fiziologio
Catagóir:Stair na Fionlainne	Kategorio:Historio de Finnlando
Catagóir:An Táidsíceastáin	Kategorio:Taĝikio
Catagóir:An Tíomór Thoir	Kategorio:Orienta Timoro
Catagóir:Daoine Íoslannacha	Kategorio:Islandanoj
Catagóir:Daoine ón mBreatain Bheag	Kategorio:Kimroj
Catagóir:An Tuircméanastáin	Kategorio:Turkmenio
Catagóir:An Úisbéiceastáin	Kategorio:Uzbekio
Catagóir:Dochtúirí	Kategorio:Kuracistoj
Catagóir:Aontas na nÉimíríochtaí Arabacha	Kategorio:Unuiĝintaj Arabaj Emirlandoj
Catagóir:Drámadóirí Meiriceánacha	Kategorio:Usonaj dramistoj
Catagóir:Aisteoirí Francacha	Kategorio:Francaj aktoroj
Catagóir:Ceoltóirí Íoslannacha	Kategorio:Islandaj muzikistoj
Catagóir:Ceoltóirí Fionlannacha	Kategorio:Finnaj muzikistoj
Catagóir:Cumadóirí Éireannacha	Kategorio:Irlandaj komponistoj
Catagóir:Polaiteoirí na hIorua	Kategorio:Norvegaj politikistoj
Catagóir:Polaiteoirí Ostaracha	Kategorio:Aŭstraj politikistoj
Catagóir:Básanna i 1795	Kategorio:Mortintoj en 1795
Catagóir:Daoine Spáinneacha	Kategorio:Hispanoj
Catagóir:Aisteoirí Nua-Shéalannacha	Kategorio:Novzelandaj aktoroj
Catagóir:Impireacht na Mongólach	Kategorio:Mongola Imperio
Catagóir:Aontas na bPoblachtaí Sóivéadacha Sóisialacha	Kategorio:Sovetunio
Catagóir:An tSean-Róimh	Kategorio:Romio
Catagóir:Impireacht Naofa Rómhánach	Kategorio:Sankta Romia Imperio
Catagóir:Giotáraithe Meiriceánacha	Kategorio:Usonaj gitaristoj
Catagóir:Péintéirí Spáinneacha	Kategorio:Hispanaj pentristoj
Catagóir:Teimpléid iltheangach	Kategorio:Multlingviloj
Catagóir:Impireacht Otamánach	Kategorio:Otomana Imperio
Catagóir:Síolta réalteolaíochta	Kategorio:Ĝermoj pri astronomio
Catagóir:Pailé-ointeolaíocht	Kategorio:Paleontologio
Catagóir:An Bhreatain Bheag	Kategorio:Kimrio
Catagóir:Daoine as Baile Átha Cliath	Kategorio:Dublinanoj
Catagóir:Tubaistí de dhéantús an duine	Kategorio:Homdevenaj katastrofoj
Catagóir:Blianta báis	Kategorio:Mortintoj laŭ jaroj
Catagóir:Blianta breithe	Kategorio:Naskiĝintoj laŭ jaroj
Catagóir:Uachtaráin na Stát Aontaithe	Kategorio:Prezidantoj de Usono
Catagóir:Stair na nGiúdach	Kategorio:Historio de judismo
Catagóir:Stair na hEorpa	Kategorio:Historio de Eŭropo
Catagóir:Stair na hÁise	Kategorio:Historio de Azio
Catagóir:Néareolaíocht	Kategorio:Neŭrologio
Catagóir:San Mairíne	Kategorio:San-Marino
Catagóir:An Iordáin	Kategorio:Jordanio
Catagóir:Samó	Kategorio:Samoo
Catagóir:Cósta Ríce	Kategorio:Kostariko
Catagóir:Oileán na Tríonóide agus Tobága	Kategorio:Trinidado kaj Tobago
Catagóir:Suranam	Kategorio:Surinamo
Catagóir:Nicearagua	Kategorio:Nikaragvo
Catagóir:An Bhoisnia-Heirseagaivéin	Kategorio:Bosnio kaj Hercegovino
Catagóir:An Iorua	Kategorio:Norvegio
Catagóir:Barbadós	Kategorio:Barbado
Catagóir:Panama	Kategorio:Panamo
Catagóir:Paragua	Kategorio:Paragvajo
Catagóir:Fidsí	Kategorio:Fiĝioj
Catagóir:Nua-Ghuine Phapua	Kategorio:Papuo-Nov-Gvineo
Catagóir:Oileáin Marshall	Kategorio:Marŝala Insularo
Catagóir:Lichtinstéin	Kategorio:Liĥtenŝtejno
Catagóir:Oileáin Sholamón	Kategorio:Salomonoj
Catagóir:Hondúras	Kategorio:Honduro
Catagóir:Uragua	Kategorio:Urugvajo
Catagóir:Andóra	Kategorio:Andoro
Catagóir:San Uinseann agus na Greanáidíní	Kategorio:Sankta Vincento kaj Grenadinoj
Catagóir:An tSeirbia	Kategorio:Serbio
Catagóir:An Bheilís	Kategorio:Belizo
Catagóir:An tSalvadóir	Kategorio:Salvadoro
