Àfrica	Afriko
Estat Oriental de l'Uruguai	Estado Oriental del Uruguay
Categoria:Almiralls	Kategorio:Admiraloj
Categoria:Ecozones	Kategorio:Ekozonoj
Categoria:Comtats de Texas	Kategorio:Kantonoj de Teksaso
Categoria:Música d'Àfrica	Kategorio:Afrika muziko
Categoria:Thalasseus	Kategorio:Thalasseus
Categoria:Universitats de Suècia	Kategorio:Universitatoj de Svedio
Categoria:Bahames	Kategorio:Bahamoj
Categoria:La Haia	Kategorio:Hago
Categoria:Els Simpson	Kategorio:La Simpsonoj
Plantilla:Dominis de primer nivell genèrics	Ŝablono:Ĝeneralaj domajnoj de plej alta nivelo
Categoria:Cultura d'Àfrica	Kategorio:Afrika kulturo
Categoria:Unió Africana	Kategorio:Afrika Unio
Categoria:Reis de Tebes	Kategorio:Mitaj reĝoj de Tebo
Categoria:Nomenclatura de la UNESCO	Kategorio:Nomenklaturo de Unesko
Categoria:Aikido	Kategorio:Ajkido
Categoria:Empreses de fotografia	Kategorio:Fotografiaj firmaoj
Categoria:Estat de São Paulo	Kategorio:San-Paŭlo (subŝtato)
Categoria:Umeå	Kategorio:Umeå
Categoria:Color	Kategorio:Koloroj
Categoria:Toponímia	Kategorio:Loknomscienco
Categoria:Tolosa de Llenguadoc	Kategorio:Tuluzo
Categoria:Municipis de Charente	Kategorio:Komunumoj de Charente
Categoria:Llengües germàniques occidentals	Kategorio:Okcidentĝermana lingvaro
Categoria:Municipis de la Borgonya	Kategorio:Komunumoj de la regiono Burgonjo
Categoria:Ciutats de Slesvig-Holstein	Kategorio:Urboj de Ŝlesvigo-Holstinio
Categoria:Compositors de música clàssica	Kategorio:Klasikaj komponistoj
Plantilla:Cita Harvard	Ŝablono:Harv
Categoria:Missions	Kategorio:Kristanaj misioj
Categoria:Sindicats espanyols	Kategorio:Hispanaj sindikatoj
Categoria:Tramvia	Kategorio:Tramvojo
Categoria:Transport a Barcelona	Kategorio:Transporto en Barcelono
Categoria:Transport a Catalunya	Kategorio:Transporto en Katalunio
Categoria:Unió per a un Moviment Popular	Kategorio:Unuiĝo por Popola Movado (Francio)
Categoria:Membres de la UMP	Kategorio:Homoj de UMP (Francio)
Categoria:Persones de l'Organització de les Nacions Unides	Kategorio:Personoj de Unuiĝintaj Nacioj
Categoria:Municipis de Sena Saint-Denis	Kategorio:Komunumoj de Seine-Saint-Denis
Categoria:Secretaris d'Estat dels Estats Units	Kategorio:Ministroj pri eksteraj rilatoj de Usono
Categoria:Teròpodes	Kategorio:Teropodoj
Categoria:Trentino	Kategorio:Provinco Trento
Categoria:Mitologia sumèria	Kategorio:Sumera mitologio
Categoria:Quilòpodes	Kategorio:Centpieduloj
Categoria:Troglodítids	Kategorio:Trogloditedoj
Categoria:Troms	Kategorio:Troms
Categoria:Trondheim	Kategorio:Trondheim
Categoria:Troodòntids	Kategorio:Troodontedoj
Categoria:Trotskistes	Kategorio:Trockistoj
Categoria:Arxipèlag Svalbard	Kategorio:Svalbardo
Categoria:Escriptors en suec	Kategorio:Svedlingvaj verkistoj
Categoria:Governació de Tunis	Kategorio:Gubernio Tunizo
Categoria:Llengües manxú-tungús	Kategorio:Tungus-manĉura lingvaro
Categoria:Poetes tunisians	Kategorio:Tuniziaj poetoj
Categoria:Acàcies	Kategorio:Akacioj
Categoria:Mitologia africana	Kategorio:Afrikaj mitologioj
Categoria:Acordió	Kategorio:Akordiono
Categoria:Aldehids	Kategorio:Aldehidoj
Categoria:Tyne i Wear	Kategorio:Tyne and Wear
Categoria:Classes de cavalls	Kategorio:Ĉevaloj laŭ tipoj
Categoria:Antigues esglésies orientals	Kategorio:Ortodoksaj orientaj eklezioj
Categoria:Tiranosauroïdeus	Kategorio:Tiranosaŭroj
Categoria:Estat d'Amapá	Kategorio:Amapao
Categoria:Unitats de temps	Kategorio:Mezurunuoj de tempo
Categoria:Amiens	Kategorio:Amiens
Categoria:Amines	Kategorio:Aminoj
Categoria:Sydney	Kategorio:Sidnejo
Categoria:Llengües anatòliques	Kategorio:Anatola lingvaro
Categoria:Ansbach	Kategorio:Ansbach
Categoria:Província de Ciudad Real	Kategorio:Ciudad Real
Categoria:Obres d'Antoni Gaudí	Kategorio:Konstruaĵoj de Gaudí
Categoria:Estris de cuina	Kategorio:Manĝilaro
Categoria:Vall d'Aosta	Kategorio:Aosta Valo
Categoria:Geobotànica	Kategorio:Fitogeografio
Categoria:Nuncis apostòlics	Kategorio:Apostolaj nuncioj
Categoria:Aqüicultura	Kategorio:Akvokulturo
Categoria:Aragó	Kategorio:Aragono
Categoria:Arquitectes del moviment modern	Kategorio:Arkitektoj de moderno
Categoria:Místics	Kategorio:Mistikuloj
Categoria:Personatges del Nou Testament	Kategorio:Homoj de la Nova Testamento
Categoria:Terminologia d'arqueologia	Kategorio:Arkeologia faktermino
Categoria:Jaciments arqueològics de l'Iraq	Kategorio:Arkeologiaj lokoj en Irako
Categoria:Jaciments arqueològics del Perú	Kategorio:Arkeologiaj lokoj en Peruo
Categoria:Cavalls mitològics	Kategorio:Mitaj ĉevaloj
Categoria:Illes mítiques	Kategorio:Mitaj insuloj
Categoria:Artistes argentins	Kategorio:Argentinaj artistoj
Categoria:Nous moviments religiosos	Kategorio:Novaj religioj
Categoria:Arnulfians	Kategorio:Arnulfidoj
Categoria:Universitats de Letònia	Kategorio:Universitatoj de Latvio
Categoria:Psicòlegs	Kategorio:Psikologoj
Categoria:Natació sincronitzada	Kategorio:Sinkrona naĝado
Categoria:Oceà Atlàntic	Kategorio:Atlantika Oceano
Categoria:Caprimúlgids	Kategorio:Kaprimulgedoj
Categoria:Àtica	Kategorio:Atiko
Categoria:Anarquistes	Kategorio:Anarkiistoj
Categoria:Literatura àrab	Kategorio:Arablingva literaturo
Categoria:Musàcies	Kategorio:Muzacoj
Categoria:Forces armades d'Àfrica	Kategorio:Armitaj fortoj de Afriko
Categoria:Bateries elèctriques	Kategorio:Baterio
Categoria:Artistes uruguaians	Kategorio:Urugvajaj artistoj
Categoria:Literatura uruguaiana	Kategorio:Urugvaja literaturo
Categoria:Metges uruguaians	Kategorio:Urugvajaj kuracistoj
Categoria:Programari criptogràfic	Kategorio:Ĉifrika programaro
Categoria:Primulàcies	Kategorio:Primolacoj
Categoria:Usuaris no-4	Kategorio:Vikipediisto no-4
Categoria:Plantes medicinals	Kategorio:Kuracplantoj
Categoria:Poetes per llengua	Kategorio:Poetoj laŭ lingvoj
Categoria:Llistes de lingüística	Kategorio:Listoj pri lingvistiko
Categoria:Plantilles d'indexació	Kategorio:Ŝablono:Indekso
Categoria:Viatge	Kategorio:Vojaĝo
Categoria:Usuaris nl-4	Kategorio:Vikipediisto nl-4
Categoria:Paradoxes	Kategorio:Paradoksoj
Categoria:Cròniques	Kategorio:Kronikoj
Categoria:Vanellus	Kategorio:Vanellus
Categoria:Sales de concert	Kategorio:Koncertejoj
Categoria:Edificis de Madrid	Kategorio:Konstruaĵoj en Madrido
Categoria:Compostos de clor	Kategorio:Kloraj kombinaĵoj
Categoria:Edificis de Moscou	Kategorio:Konstruaĵoj en Moskvo
Categoria:Edificis per estil	Kategorio:Konstruaĵoj laŭ stiloj
Categoria:Viles del districte de Bánovce nad Bebravou	Kategorio:Municipoj en la distrikto Bánovce nad Bebravou
Categoria:Viles del districte d'Ilava	Kategorio:Municipoj en la distrikto Ilava
Categoria:Viles del districte de Krupina	Kategorio:Vilaĝoj de distrikto Krupina
Categoria:Viles del districte de Prievidza	Kategorio:Municipoj en la distrikto Prievidza
Categoria:Viles del districte de Zvolen	Kategorio:Municipoj en la distrikto Zvolen
Categoria:Viles del districte de Komárno	Kategorio:Municipoj en la distrikto Komárno
Categoria:Odessa	Kategorio:Odeso
Categoria:Egitàlids	Kategorio:Egitaledoj
Categoria:Oboè	Kategorio:Hobojo
Categoria:Viquipedistes d'Alemanya	Kategorio:Vikipediistoj de Germanio
Categoria:Ossètia	Kategorio:Osetio
Categoria:Atraccions turístiques	Kategorio:Vizitindaĵoj
Viquipèdia:Lua/Introducció	Helpo:Lua
Categoria:Viquipedistes d'Espanya	Kategorio:Vikipediistoj de Hispanio
Categoria:Oceànides	Kategorio:Oceanidinoj
Categoria:Òperes	Kategorio:Operoj
Categoria:Opel	Kategorio:Opel
Categoria:Muntanyes de les Illes Fèroe	Kategorio:Montoj en Ferooj
Categoria:Muntanyes de l'Himàlaia	Kategorio:Montoj de Himalajo
Categoria:Muntanyes de la Colúmbia Britànica	Kategorio:Montoj en Brita Kolumbio
Categoria:Videojocs en línia	Kategorio:Interretaj ludoj
Categoria:Muntanyes del Tibet	Kategorio:Montoj en Tibeto
Categoria:Betulàcies	Kategorio:Betulacoj
Categoria:Didelfimorfs	Kategorio:Didelfoj
Categoria:Volcans d'Amèrica del Sud	Kategorio:Vulkanoj en Sudameriko
Categoria:Ardeids	Kategorio:Ardeedoj
Categoria:Simfonies de Joseph Haydn	Kategorio:Simfonioj de Joseph Haydn
Categoria:Urartu	Kategorio:Urarto
Categoria:Província de Huelva	Kategorio:Provinco de Huelva
Categoria:Ciutats del voivodat de Łódź	Kategorio:Urboj de Lodzio
Categoria:Reactors nuclears	Kategorio:Nukleaj reakciujoj
Categoria:Arcs	Kategorio:Arko (arĥitekturo)
Categoria:Sants gal·lesos	Kategorio:Kimraj sanktuloj
Categoria:Bourges	Kategorio:Bourges
Categoria:Línies de latitud	Kategorio:Objektoj laŭ latitudo
Categoria:Comtats de Wisconsin	Kategorio:Kantonoj de Viskonsino
Categoria:Brunei	Kategorio:Brunejo
Categoria:Àcids orgànics	Kategorio:Organikaj acidoj
Categoria:Infantesa	Kategorio:Infaneco
Categoria:Cancellers d'Alemanya	Kategorio:Germanaj kancelieroj
Categoria:Cancellers d'Àustria	Kategorio:Kancelieroj de Aŭstrio
Categoria:Presidents d'Àustria	Kategorio:Prezidantoj de Aŭstrio
Categoria:Museus per tipus	Kategorio:Muzeoj laŭ temoj
Categoria:Tècniques musicals	Kategorio:Muzikaj teknikoj
Categoria:Guerres civils	Kategorio:Enlandaj militoj
Muhàmmad al-Mahdí	Kaŝita Imamo
Categoria:Ciències aplicades	Kategorio:Aplikataj sciencoj
Categoria:Alcaldes de París	Kategorio:Urbestroj de Parizo
Categoria:Alcaldes espanyols	Kategorio:Urbestroj de Hispanio
Categoria:Cambridge	Kategorio:Kembriĝo
Categoria:Políedres de Catalan	Kategorio:Katalunaj solidoj
Categoria:Catàrtids	Kategorio:Katartedoj
Categoria:Mitologia xinesa	Kategorio:Ĉina mitologio
Categoria:Artistes xinesos	Kategorio:Ĉinaj artistoj
Categoria:Pterosaures	Kategorio:Flugsaŭroj
Categoria:Personalitat	Kategorio:Personeco
Categoria:Impremta	Kategorio:Presado
Categoria:Comarques de Catalunya	Kategorio:Komarkoj de Katalunio
Categoria:Comarques de la Comunitat de Madrid	Kategorio:Komarkoj de Madrida Regiono
Categoria:Videojocs per plataforma	Kategorio:Videoludaj periloj
Categoria:Illes Cook	Kategorio:Kukinsuloj
Categoria:Comtats de Califòrnia	Kategorio:Kantonoj de Kalifornio
Categoria:Comtats de Nova Jersey	Kategorio:Kantonoj de Nov-Ĵerzejo
Categoria:Comtats de Nova York	Kategorio:Kantonoj de Nov-Jorkio
Categoria:Comtats de Dakota del Nord	Kategorio:Kantonoj de Norda Dakoto
Categoria:Comtats d'Ohio	Kategorio:Kantonoj de Ohio
Categoria:Comtats de Pennsilvània	Kategorio:Kantonoj de Pensilvanio
Categoria:Comtats de Virgínia	Kategorio:Kantonoj de Virginio
Categoria:Comtats de Virgínia de l'Oest	Kategorio:Kantonoj de Okcidenta Virginio
Categoria:Comtats dels Estats Units	Kategorio:Usonaj kantonoj
Categoria:Càceres	Kategorio:Cáceres
Categoria:Història natural	Kategorio:Naturhistorio
Categoria:Compositors per gènere	Kategorio:Komponistoj laŭ ĝenroj
Categoria:Psicoanalistes	Kategorio:Psikoanalizistoj
Categoria:Biografies per ideologia	Kategorio:Politikistoj laŭ pozicioj
Categoria:Història política	Kategorio:Politika historio
Categoria:Manifestacions	Kategorio:Manifestacioj
Categoria:Monuments d'Espanya	Kategorio:Monumentoj en Hispanio
Categoria:Monuments de París	Kategorio:Historiaj monumentoj de Parizo
Categoria:Ornitòlegs	Kategorio:Ornitologoj
Categoria:Afinació	Kategorio:Agordoj (muziko)
Categoria:Crim organitzat	Kategorio:Krimorganizaĵoj
Categoria:Oncologia	Kategorio:Onkologio
Categoria:Congregació Salesiana	Kategorio:Salesiana familio
Categoria:Pezizomicets	Kategorio:Pezizomycetes
Categoria:Grècia Central	Kategorio:Centra Grekio
Categoria:Províncies de la Xina	Kategorio:Provincoj de Ĉinio
Categoria:Múrids	Kategorio:Musedoj
Categoria:Cartografia	Kategorio:Kartografio
Categoria:Mitologies per origen	Kategorio:Mitologio laŭ kulturoj
Categoria:Topografia	Kategorio:Topografio
Categoria:Escoles i corrents filosòfics	Kategorio:Filozofiaj skoloj kaj tradicioj
Categoria:Entomòlegs britànics	Kategorio:Britaj entomologoj
Categoria:Província de Cadis	Kategorio:Provinco Cádiz
Categoria:Municipis de Càceres	Kategorio:Municipoj de Cáceres
Categoria:Províncies de Castella i Lleó	Kategorio:Provincoj de Kastilio kaj Leono
Categoria:El Caire	Kategorio:Kairo
Categoria:Universitats de Catalunya	Kategorio:Universitatoj en Katalunio
Categoria:Províncies de Catalunya	Kategorio:Katalunaj provincoj
Categoria:Països Catalans	Kategorio:Katalunaj Landoj
Categoria:Artistes canadencs	Kategorio:Kanadaj artistoj
Categoria:Persones commemorades al calendari litúrgic luterà	Kategorio:Homoj solenitaj en la luterana liturgia kalendaro
Categoria:Províncies de Kenya	Kategorio:Provincoj de Kenjo
Categoria:Llengües celtes	Kategorio:Kelta lingvaro
Categoria:Patrimoni de la Humanitat a Colòmbia	Kategorio:Mondaj heredaĵoj en Kolombio
Categoria:Patrimoni de la Humanitat de Bulgària	Kategorio:Mondaj heredaĵoj en Bulgario
Categoria:Patrimoni de la Humanitat de Noruega	Kategorio:Mondaj heredaĵoj en Norvegio
Categoria:Patrimoni de la Humanitat de Suècia	Kategorio:Mondaj heredaĵoj en Svedio
Categoria:Estrepsirins	Kategorio:Strepsirinoj
Categoria:Llengües cuixítiques	Kategorio:Kuŝida lingvaro
Categoria:Quebequesos	Kategorio:Kebekianoj
Categoria:Cràters	Kategorio:Krateroj
Categoria:Esquiadors de fons	Kategorio:Skikuradistoj
Categoria:Ramfàstids	Kategorio:Tukanoj
Categoria:Rius de la conca del Loira	Kategorio:Akvoklekta areo de Luaro
Categoria:Túnels	Kategorio:Tuneloj
Categoria:Ciutats de Tennessee	Kategorio:Urboj de Tenesio
Categoria:Província de Teramo	Kategorio:Provinco Teramo
Categoria:Tractats de pau	Kategorio:Packontraktoj
Categoria:Àlaba	Kategorio:Alavo
Categoria:Cementiris de París	Kategorio:Tombejoj de Parizo
Categoria:Toronto	Kategorio:Toronto (Ontario)
Categoria:Primers ministres d'Estònia	Kategorio:Ĉefministroj de Estonio
Categoria:Sintaxi	Kategorio:Sintakso
Categoria:Llengües tupí	Kategorio:Tupia lingvaro
Categoria:Animals del Triàsic	Kategorio:Triasaj bestoj
Francesca Bonnemaison i Farriols	Francesca Bonnemaison i Farriols
Categoria:Serralades d'Alemanya	Kategorio:Montaroj en Germanio
Categoria:Trotskisme	Kategorio:Trockismo
Categoria:Partits polítics trotskistes	Kategorio:Trockismaj organizaĵoj
Categoria:Rebosteria	Kategorio:Bakaĵoj
Categoria:Imperi Part	Kategorio:Partoj
Categoria:Metro de París	Kategorio:Metroo de Parizo
Categoria:Província de Palerm	Kategorio:Provinco Palermo
Categoria:Municipis de Burgenland	Kategorio:Komunumoj de Burgenlando
Categoria:Municipis de l'Ardecha	Kategorio:Komunumoj de Ardèche
Categoria:Municipis del Charente Marítim	Kategorio:Komunumoj de Charente-Maritime
Categoria:Municipis del Gard	Kategorio:Komunumoj de Gard
Categoria:Municipis de l'Alt Loira	Kategorio:Komunumoj de Haute-Loire
Categoria:Municipis de l'Alta Savoia	Kategorio:Komunumoj de Haute-Savoie
Categoria:Perth	Kategorio:Perto
Categoria:Municipis de l'Alt Saona	Kategorio:Komunumoj de Haute-Saône
Categoria:Municipis de l'Indre	Kategorio:Komunumoj de Indre
Categoria:Municipis d'Indre i Loira	Kategorio:Komunumoj de Indre-et-Loire
Categoria:Municipis del Mosel·la	Kategorio:Komunumoj de Moselle
Categoria:Municipis dels Pirineus Orientals	Kategorio:Komunumoj de Pyrénées-Orientales
Categoria:Municipis de Saona i Loira	Kategorio:Komunumoj de Saône-et-Loire
Categoria:Municipis de la Vendée	Kategorio:Komunumoj de Vendée
Categoria:Municipis de la Viena	Kategorio:Komunumoj de Vienne
Categoria:Municipis del Trentino	Kategorio:Komunumoj de Provinco Trento
Categoria:Comunes de la Polinèsia Francesa	Kategorio:Komunumoj de Franca Polinezio
Categoria:Municipis de Guadalupe	Kategorio:Komunumoj de Gvadelupo
Categoria:Municipis de Caríntia	Kategorio:Komunumoj de Karintio
Categoria:Municipis de la Martinica	Kategorio:Komunumoj de Martiniko
Categoria:Municipis de la Baixa Àustria	Kategorio:Komunumoj de Malsupra Aŭstrio
Categoria:Municipis de l'Alta Àustria	Kategorio:Komunumoj de Supra Aŭstrio
Categoria:Municipis dels Països Baixos	Kategorio:Komunumoj en Nederlando
Categoria:Municipis de Bretanya	Kategorio:Urboj de Bretonio
Categoria:Municipis de l'Illa de França	Kategorio:Komunumoj de Francilio
Categoria:Municipis d'Estíria	Kategorio:Komunumoj de Stirio
Categoria:Municipis per origen	Kategorio:Municipoj laŭ landoj
Categoria:Permià	Kategorio:Permio
Categoria:Animals del Permià	Kategorio:Permiaj bestoj
Categoria:Província de Pescara	Kategorio:Provinco Pescara
Categoria:Pacifistes	Kategorio:Pacistoj
Categoria:Enologia	Kategorio:Vinscienco
Categoria:Presidents de Portugal	Kategorio:Prezidantoj de Portugalio
Categoria:Dret de societats	Kategorio:Korporacia juro
Categoria:Praga	Kategorio:Prago
Categoria:Monestirs de França	Kategorio:Monaĥejoj de Francio
Categoria:Premsa de França	Kategorio:Francaj gazetoj
Categoria:Provença	Kategorio:Provenco
Categoria:Plàstics	Kategorio:Plasto
Categoria:Videojocs per a PlayStation 3	Kategorio:Videoludoj ludeblaj per PlayStation 3
Categoria:Esglésies gòtiques	Kategorio:Gotikaj kirkoj
Categoria:Governadors	Kategorio:Guberniestroj
Categoria:Comtes de Boulogne	Kategorio:Grafoj de Boulogne
Categoria:Províncies de Finlàndia	Kategorio:Gubernioj de Finnlando
Categoria:Comtes de Tolosa	Kategorio:Grafoj de Tuluzo
Categoria:Grans escoles	Kategorio:Francaj superaj lernejoj
Categoria:Perifèries de Grècia	Kategorio:Administraj regionoj de Grekio
Categoria:Jaén	Kategorio:Ĥaeno
Categoria:Anells planetaris	Kategorio:Planedaj ringoj
Categoria:Obstetrícia i ginecologia	Kategorio:Ginekologio kaj akuŝologio
Categoria:Penínsules d'Àfrica	Kategorio:Duoninsuloj en Afriko
Categoria:Partits polítics d'Estònia desapareguts	Kategorio:Malaperintaj politikaj partioj de Estonio
Categoria:Illes de la mar Mediterrània	Kategorio:Mediteraneaj insuloj
Categoria:Arxipèlags de França	Kategorio:Insularoj de Francio
Categoria:Arxipèlags de Grècia	Kategorio:Insularoj en Grekio
Categoria:Illes de l'oceà Antàrtic	Kategorio:Insularoj en la Suda Oceano
Categoria:Províncies d'Itàlia	Kategorio:Provincoj de Italio
Categoria:Joan Miró i Ferrà	Kategorio:Joan Miró
Categoria:Periodistes uruguaians	Kategorio:Urugvajaj ĵurnalistoj
Categoria:Canals de Mediaset Espanya	Kategorio:Televidkanaloj Mediaset Hispanio
Categoria:Plaques de matrícula	Kategorio:Aŭtokodoj
Categoria:Cinètica química	Kategorio:Kemia kinetiko
Categoria:Província de la Corunya	Kategorio:Provinco Korunjo
Categoria:Esglésies per estil	Kategorio:Kirkoj laŭ stiloj
Categoria:Algues	Kategorio:Algoj
Plantilla:Image label begin	Ŝablono:Marko sur bildo komenco
Categoria:Economia alternativa	Kategorio:Alternativa ekonomio
Categoria:Acadèmia Francesa	Kategorio:Franca Akademio
Categoria:Egitínids	Kategorio:Egitinedoj
Categoria:Avions per a ús civil	Kategorio:Civilaj aviadiloj
Categoria:Jugadors d'escacs argentins	Kategorio:Argentinaj ŝakistoj
Categoria:Província d'Ascoli Piceno	Kategorio:Provinco Ascoli Piceno
Categoria:Ateus	Kategorio:Ateistoj
Categoria:Petroicids	Kategorio:Petroicedoj
Categoria:Confucianisme	Kategorio:Konfuceismo
Categoria:Generals soviètics	Kategorio:Sovetiaj generaloj
Categoria:Províncies de Romania	Kategorio:Distriktoj en Rumanio
Categoria:Guerres d'Àfrica	Kategorio:Militoj partoprenataj de afrikaj ŝtatoj aŭ popoloj
Categoria:Compositors cubans	Kategorio:Kubaj komponistoj
Categoria:Artistes cubans	Kategorio:Kubaj artistoj
Categoria:Cultura de Nova Jersey	Kategorio:Kulturo en Nov-Ĵerzejo
Categoria:Poliquets	Kategorio:Poliĥetoj
Categoria:Selecció de futbol del Brasil	Kategorio:Brazila nacia teamo de futbalo
Categoria:Província de Brescia	Kategorio:Provinco Brescia
Categoria:Art per període	Kategorio:Arto laŭ epokoj
Categoria:Traductors britànics	Kategorio:Britaj tradukistoj
Categoria:Reis de Mallorca	Kategorio:Reĝoj de Majorko
Categoria:Pintors del Fauvisme	Kategorio:Faŭvismaj pentristoj
Plantilla:Bg	Ŝablono:Bg
Categoria:Dret civil	Kategorio:Civila juro
Categoria:Província de Campobasso	Kategorio:Provinco Campobasso
Categoria:Cariofil·lals	Kategorio:Kariofilaloj
Categoria:Religiosos catalans	Kategorio:Katalunaj religiuloj
Categoria:Cètids	Kategorio:Ĉetiedoj
Categoria:Universitats de Xile	Kategorio:Universitatoj de Ĉilio
Categoria:Cloridòidies	Kategorio:Chloridoideae
Plantilla:Infotaula de cançó	Ŝablono:Informkesto kanto
Plantilla:Quan	Ŝablono:Kiam?
Categoria:Celurosaures	Kategorio:Celurosaŭroj
Categoria:Províncies d'Hongria	Kategorio:Hungariaj departementoj
Categoria:Comunistes per origen	Kategorio:Komunistoj laŭ nacieco
Categoria:Província de Como	Kategorio:Provinco Como
Categoria:Llistes d'aeroports	Kategorio:Listoj de flughavenoj
Categoria:Jugadors d'escacs cubans	Kategorio:Kubaj ŝakistoj
Categoria:Literatura albanesa	Kategorio:Albanlingva literaturo
Categoria:Literatura occitana	Kategorio:Okcitanlingva literaturo
Categoria:Lordi	Kategorio:Lordi
Categoria:Los Angeles	Kategorio:Los-Anĝeleso
Categoria:Dictadors	Kategorio:Diktatoroj
Categoria:Drets dels animals	Kategorio:Bestaj rajtoj
Categoria:Zodíac	Kategorio:Zodiako
Categoria:Directors d'orquestra per país	Kategorio:Dirigentoj laŭ nacieco
Izquierda Unida-Los Verdes-Convocatoria por Andalucía	Unuiĝinta Maldekstro La Verduloj-Kunvoko por Andaluzio
Categoria:Malacologia	Kategorio:Malakologio
Categoria:Pintors del Neoclassicisme	Kategorio:Novklasikaj pentristoj
Categoria:Municipis de Mallorca	Kategorio:Municipoj de Majorko
Categoria:Enzimologia	Kategorio:Enzimologio
Categoria:Partits polítics d'Etiòpia	Kategorio:Politikaj partioj de Etiopio
Categoria:Diputats al Parlament Europeu	Kategorio:Membroj de Eŭropa Parlamento
Categoria:Corrents marxistes	Kategorio:Marksismaj tendencoj
Categoria:Moràcies	Kategorio:Morusacoj
Call	Juda kvartalo
Categoria:Antilles	Kategorio:Antiloj
Julián Romea Yanguas	Julián Romea
Categoria:Mitjans de comunicació del Regne Unit	Kategorio:Amaskomunikiloj en Britio
Categoria:Objectes Messier	Kategorio:Messier-objektoj
Categoria:Filòsofs de l'edat mitjana	Kategorio:Mezepokaj filozofoj
Categoria:Universitats de Finlàndia	Kategorio:Universitatoj de Finnlando
Categoria:Arquitectura militar	Kategorio:Milita arkitekturo
Categoria:Història militar de l'antiga Grècia	Kategorio:Milita historio de Antikva Grekio
Categoria:Municipis de la província de Campobasso	Kategorio:Komunumoj de Provinco Campobasso
Categoria:Minas Gerais	Kategorio:Minas-Ĝerajso
Categoria:Municipis de Catanzaro	Kategorio:Komunumoj de Provinco Catanzaro
Categoria:Mineralogistes	Kategorio:Mineralogoj
Categoria:Municipis de Cuneo	Kategorio:Komunumoj de Provinco Cuneo
Categoria:Municipis de Gènova	Kategorio:Komunumoj de Provinco Genova
Categoria:Municipis del Cantó dels Grisons	Kategorio:Komunumoj de Kantono Grizono
Categoria:Municipis de la província de Grosseto	Kategorio:Komunumoj de Provinco Grosseto
Categoria:Municipis d'Hidalgo	Kategorio:Komunumoj de Hidalgo
Categoria:Municipis de Livorno	Kategorio:Komunumoj de Provinco Livorno
Lina Llubera	Lina Llubera
Categoria:Municipis de Mèxic	Kategorio:Komunumoj de Meksiko
Categoria:Municipis de l'estat de Mèxic	Kategorio:Komunumoj de Estado de México
Categoria:Viles del districte de Michalovce	Kategorio:Municipoj en la distrikto Michalovce
Categoria:Municipis del Cantó de Nidwalden	Kategorio:Komunumoj de Kantono Nidvaldo
Categoria:Viles del districte de Nové Zámky	Kategorio:Municipoj en la distrikto Nové Zámky
Categoria:Primers ministres dels Països Baixos	Kategorio:Ĉefministroj de Nederlando
Categoria:Municipis de Nuoro	Kategorio:Komunumoj de Provinco Nuoro
Categoria:Municipis del Cantó d'Obwalden	Kategorio:Komunumoj de Kantono Obvaldo
Categoria:Municipis d'Oristany	Kategorio:Komunumoj de Provinco Oristano
Categoria:Municipis de Pistoia	Kategorio:Komunumoj de Provinco Pistoia
Categoria:Municipis de Portugal	Kategorio:Municipoj de Portugalio
Categoria:Ciutats del Rio Grande do Sul	Kategorio:Municipoj de Suda Rio-Grando
Categoria:Municipis de Sàsser	Kategorio:Komunumoj de Provinco Sassari
Categoria:Municipis del Cantó de Schwyz	Kategorio:Komunumoj de Kantono Ŝvico
Categoria:Municipis de Sevilla	Kategorio:Municipoj de Provinco Sevilla
Categoria:Municipis de Sondrio	Kategorio:Komunumoj de Provinco Sondrio
Categoria:Viles del districte de Spišská Nová Ves	Kategorio:Municipoj en la distrikto Spišská Nová Ves
Categoria:Municipis del Cantó de Ticino	Kategorio:Komunumoj de Kantono Tiĉino
Categoria:Municipis d'Udine	Kategorio:Komunumoj de Provinco Udine
Categoria:Municipis del Valais	Kategorio:Komunumoj de Kantono Valezo
Categoria:Ciutats condecorades amb la Legió d'Honor	Kategorio:Urboj ordenitaj per la Honora Legio
Categoria:Viles del districte de Žiar nad Hronom	Kategorio:Municipoj en la distrikto Žiar nad Hronom
Categoria:Història d'Aragó	Kategorio:Historio de Aragono
Categoria:Papaveràcies	Kategorio:Papavacoj
Categoria:Història de la Savoia	Kategorio:Historio de Savojo
Categoria:Monmouthshire	Kategorio:Monmouthshire
Categoria:Província de Gorizia	Kategorio:Provinco Gorizia
Categoria:Catedrals gòtiques	Kategorio:Gotikaj katedraloj
Categoria:Kremlin de Moscou	Kategorio:Moskva Kremlo
Categoria:Art de l'antiga Grècia	Kategorio:Arto de Antikva Grekio
Categoria:Muses de la mitologia grega	Kategorio:Muzoj
Categoria:Artistes peruans	Kategorio:Peruaj artistoj
Categoria:Artistes soviètics	Kategorio:Sovetiaj artistoj
Categoria:Museus de Madrid	Kategorio:Muzeoj de Madrido
Categoria:Museus de París	Kategorio:Muzeoj de Parizo
Categoria:Vaixells museu	Kategorio:Muzeaj ŝipoj
Categoria:Prunèl·lids	Kategorio:Proneledoj
Categoria:Teòrics de la música	Kategorio:Muzikteoriistoj
Categoria:Homínids	Kategorio:Homedoj
Categoria:Mecenes	Kategorio:Mecenatoj
Categoria:Premsa d'Espanya	Kategorio:Hispanaj gazetoj
