Afraga	Afriko
Fayette County, Virginia an Iar	Kantono Fayette (Okcidenta Virginio)
Marshall County, Virginia an Iar	Kantono Marshall (Okcidenta Virginio)
Gilmer County, Virginia an Iar	Kantono Gilmer (Okcidenta Virginio)
Marion County, Virginia an Iar	Kantono Marion (Okcidenta Virginio)
Harrison County, Virginia an Iar	Kantono Harrison (Okcidenta Virginio)
Jackson County, Virginia an Iar	Kantono Jackson (Okcidenta Virginio)
Hancock County, Virginia an Iar	Kantono Hancock (Okcidenta Virginio)
Fairfield County, Carolina a Deas	Kantono Fairfield (Suda Karolino)
Georgetown County, Carolina a Deas	Kantono Georgetown (Suda Karolino)
Florence County, Carolina a Deas	Kantono Florence (Suda Karolino)
Kershaw County, Carolina a Deas	Kantono Kershaw (Suda Karolino)
Martinez, Calafòrnia	Martinez (Kalifornio)
Wayne County, Carolina a Tuath	Kantono Wayne (Norda Karolino)
Bàthadh	Drono
Laurens County, Carolina a Deas	Kantono Laurens (Suda Karolino)
Mineral County, Virginia an Iar	Kantono Mineral (Okcidenta Virginio)
Tyler County, Virginia an Iar	Kantono Tyler (Okcidenta Virginio)
Taylor County, Virginia an Iar	Kantono Taylor (Okcidenta Virginio)
Tiriodh	Tiree
OpenOffice.org	OpenOffice
San Sebastián de La Gomera	San Sebastián de la Gomera
Rudolstadt	Rudolstadt
Bardenas Reales	Bardenas Reales
Llanfair	Llanfair
Còirnealair Parker	Kolonelo Tom Parker
2020an	2020-aj jaroj
Isaac Watts	Isaac Watts
Hydra	Hidro
Cluaran	Kardo
West Coast Region	Okcidentmarborda Regiono
Bleideag-sneachda	Floko
Uèir	Drato
Jean-Yves Le Drian	Jean-Yves Le Drian
Máirtín Ó Cadhain	Máirtín Ó Cadhain
Anarag	Anorako
Brynbuga	Usk (urbo)
Oware	Ovare
Cille Mheàrnaig	Kilmarnock
Coimeasach	Komparativo
2060an	2060-aj jaroj
Neuenhagen bei Berlin	Neuenhagen bei Berlin
Cocteau Twins	Cocteau Twins
Eideard VIII	Eduardo la 8-a (Britio)
Consairtean	Koncertino
Ceimigear	Kemiisto
Valentín González	El Campesino
Caldas	Caldas (Antjokio)
Malairt	Komerco
Cuan-choire	Kirlo
Dover	Dover
Dùn Bhlàthain	Dunblane
Breukelen	Breukelen (Utrecht)
Cailc	Kreto
Cherokee County, Carolina a Deas	Kantono Cherokee (Suda Karolino)
Deist	Diismo
Bòrd-sgeadachaidh	Komodo (meblo)
Helsa	Helsa
Alcelaphus buselaphus	Stepa alcelafo
Beannachd	Beno
Arauca (baile)	Araŭko (Kolombio)
Stràc throm	Maldekstra korno
Berkenbrück	Berkenbrück
Wehrheim	Wehrheim
Prionnsalachd Schwarzburg-Sondershausen	Schwarzburg-Sondershausen
Poblachd Ghranada Ùire	Respubliko de Nova Granado
Neiva	Neiva
Cebreros	Cebreros
Uainfheoil	Ŝafidaĵo
Cathag nan casan dearg	Ruĝbeka montokorvo
Torfaen	Torfaen
2050an	2050-aj jaroj
2040an	2040-aj jaroj
2070an	2070-aj jaroj
Blàr Chùil Lodair	Batalo de Culloden
Dùn Phrìs	Dumfries
Broth	Erupcio (medicino)
Cealsach	Kelso (Skotaj Limoj)
Canterbury Region	Kanterburio
Cartagena de Indias	Kartageno (Kolombio)
An Roinn Charaibeach	Karibio
Iòrdan	Jordan
Medellín (Spàinn)	Medellín (Hispanio)
Prionnsalachd Hohenzollern-Hechingen	Hohenzollern-Hechingen
Tanami	Tanami-Dezerto
Alpenhorn	Alpkorno
Crann-togail	Argano
Blas (dualchainnt)	Akĉento
Otago	Otago
Gaoth Dobhair	Gaoth Dobhair
Bowling Green, Kentucky	Bowling Green (Kentukio)
Prionnsalachd Schwarzburg-Rudolstadt	Schwarzburg-Rudolstadt
Garfield County, Washington	Kantono Garfield (Vaŝingtonio)
Diùcachd Sagsainn-Eisenach	Saksio-Eisenach
Diùcachd Nassau-Weilburg	Nassau-Weilburg
Prionnsalachd Isenburg	Graflando Isenburg
Oilthigh Erfurt	Universitato de Erfurto
Co-labhairt Évian	Konferenco de Évian
Arthur Aikin	Arthur Aikin
Liosta dùthchannan a-rèir àireamh-shluaigh	Listo de landoj laŭ loĝantaro
Aird nan Saighead	Arthur's Seat
2030an	2030-aj jaroj
Fuineadh	Bakado
Dealan-spèid	Telegrafo
Comar	Kunfluejo
Pluto	Pluto
2080an	2080-aj jaroj
Manach	Monaĥo
Mompós	Santa Cruz de Mompox
Nathair (Ceòl)	Serpento (blovinstrumento)
Tunnag	Hejmanaso
Corra-ghràin mhòr Aimeireaga	Nord-amerika botaŭro
Obar Neithich	Abernethy (Perth and Kinross)
Castell-nedd Port Talbot	Neath Port Talbot
Caisleán an Bharraigh	Castlebar
Nefud	Nefud
Duine-uasal	Ĝentlemano
Villavicencio	Villavicencio
Cimbasso	Cimbasso
Latha Mhartin Luther King	Martinluterkinga Tagofesto
Caisteal Shruighlea	Kastelo de Stirling
Karcag	Karcag
Lia Fàil	Ŝtono de Scone
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca	Centro Federal de Educação Tecnológica Celso Suckow da Fonseca
Springs	Springs
Òrdag-coise	Halukso
Salm 91	Psalmo 91
Oilthigh Cantàbria	Universitato de Kantabrio
Bus	Buso
Klaipėda	Klaipėda
Llangernyw	Llangernyw
Doc Penfro	Pembroke Dock
Moguer	Moguer
Bealltainn	Belteno
Fàsach Cholistan	Dezerto de Ĉolistano
Baja California	Kaliforni-duoninsula Dezerto
Allt a' Bhonnaich	Bannockburn
Fàsach Bhayuda	Bajuda-Dezerto
Siontò	Ŝintoismo
Bello	Bello (Kolombio)
Ceimigearan Ainmeil	Listo de kemiistoj
Klickitat County, Washington	Kantono Klickitat (Vaŝingtonio)
Riohacha (baile)	Riohacha
Tinbheal	Tynwald
Bono	Bono Vox
Diùcachd Nassau	Duklando Nassau
La Jolla, Calafòrnia	La Jolla
Plasticine	Modlopasto
Bìth	Peĉo
Gath (cuibhle)	Spoko
2090an	2090-aj jaroj
Clay County, Virginia an Iar	Kantono Clay (Okcidenta Virginio)
Ohio County, Virginia an Iar	Kantono Ohio (Okcidenta Virginio)
Neapraigear	Buŝtuko
Siobhag	Meĉo
Buchach	Buĉaĉ
York University	York University
Aoradh	Diservo
Montería (baile)	Monteria
Sgàin	Scone (Skotlando)
VietJet Air	VietJet Air
Fàsach Chihuahuan	Ĉiuaŭa Dezerto
Strijen	Strijen
Gallaibh	Caithness
Wakame	Vakameo
Yarmouth, Alba Nuadh	Yarmouth (Nov-Skotio)
Teine an taighe-tionnsgain Trì-cheàrnag	Brulado de Triangle Shirtwaist Factory
Brillean	Klitoro
Steàrnan	Ŝterno
Dango	Dango
Boksburg	Boksburg
Jethou	Jethou
Leasbach dhatha-bhilean	Njo-lesbanino
Brecqhou	Brechou
Henri Braconnot	Henri Braconnot
Hilaire Rouelle	Hilaire Rouelle
Canàl Cailleanach	Kaledonia Kanalo
Caerffili	Caerphilly
Cobhair:Susbaint	Helpo:Enhavo
Kingston	Kingston
Pontifícia Universidade Católica de Minas Gerais	Pontifícia Universidade Católica de Minas Gerais
Àrd-thìr Cholorado	Kolorado-altebenaĵo
Santa Fe de Antioquia	Sankta Fido de Antjokio
Honda (Baile)	Honda (Tolimo)
Greymouth	Greymouth
Fàsach dathte (Arizona)	Pentrita Dezerto
Fàsach Thabernas	Dezerto de Tabernas
Sechura	Seĉura-Dezerto
Hebrides Overture	Die Hebriden (Mendelssohn)
Rangipo	Rangipo (dezerto)
Tùcaid	Kolomba staleto
Sir William Ramsay	William Ramsay
Forbes	Forbes
Great Basin	Granda Baseno
Beic	Riverenco
Bun-sgoil	Elementa lernejo
Àicheil	Negativa
Taigh Iain Ghròt	John o' Groats
Buenaventura	Buenaventura (Kolombio)
Urla	Urla (Izmiro)
Leiderdorp	Leiderdorp
Szczawno-Zdrój	Szczawno-Zdrój
Léim an Mhadaidh	Limavady
Lannraig, Lannraig a Deas	Lanark
Dùn Barra	Dunbar (Skotlando)
Craobh-Iubhair Fhartairchill	Taksuso de Fortingall
Druim na Drochaid	Drumnadrochit
Whanganui	Wanganui
Eaglais Fheichin	Ecclefechan
Gleann Iucha	Linlithgow
Hunndaidh	Huntly (Skotlando)
Jagniątków	Jagniątków
Eygelshoven	Eygelshoven
Uitenhage	Uitenhage
Mvezo	Mvezo
An t-Sròn	Troon
El Hierro	El Hierro
Sincelejo	Sincelejo
Carterton, Sealainn Nuadh	Carterton (Nov-Zelando)
Carwitz	Carwitz
Cairteil Medellín	Medellín-Kartelo
Tìr nan Cailleannach	Kaledonio
Bliadhna a' Phrionnsa	Dua jakobita ribelo
Cataibh	Sutherland
Fàsach Phatagòinia	Patagona Stepo
Channeled scablands	Skablandoj
Ainmean Bailtean Eòrpach	Listo de nomoj de eŭropaj urboj en diversaj lingvoj
Coileach Fraoich	Skota lagopo
Bas	Palm
Critheann	Tremolecaj poploj
Currach Cuimreach	Koraklo
Urras	Trusto
Bòid	Voto
Blàr Boyacá	Batalo de Bojakao
Oilthigh Nàiseanta Colombia	Nacia Universitato de Kolombio
Loidig mhatamataigeach	Matematika logiko
Loch	Loĥo
Giomach uisge	Kankro (besto)
Ùr-sgeulachd	Mito
Roinn (matamataig)	Divido
Dollar	Dolaro
Dolair	Dolaro (urbo)
Siorrachd Pheairt	Perthshire
Pàrtaidh Uaine na h-Alba	Skota Verda Partio
Oilthigh Antioquia	Universitato de Antjokio
Seòlaid	Akvovojo
60an	60-aj jaroj
50an	50-aj jaroj
40an	40-aj jaroj
30an	30-aj jaroj
Blàr Flodden	Flodden Field (batalo)
Loch Ma-ruibhe	Maree
Beinn Rothaich	Munro
Ennor	Sankta Maria (Scilly)
Sìdhe	Sidhe
Sgrùdair ciùil	Muzikkritikisto
Fàsach Strzelecki	Strzelecki-Dezerto
Oilthigh Cailleannach Glaschu	Kaledonia Universitato de Glasgovo
Agnes Monica	Agnes Monica
Joaquín Mosquera	Joaquín Mosquera
Loch Obha	Fjordo Awe
Domingo Caycedo Santamaría	Domingo Caycedo
Gaza	Gazao
Roinn-seòrsa:A' Ghearmailt	Kategorio:Germanio
Roinn-seòrsa:An Eadailt	Kategorio:Italio
Roinn-seòrsa:Na Stàitean Aonaichte	Kategorio:Usono
Roinn-seòrsa:An Ruis	Kategorio:Rusio
Roinn-seòrsa:Canada	Kategorio:Kanado
Roinn-seòrsa:An Rìoghachd Aonaichte	Kategorio:Unuiĝinta Reĝlando
Roinn-seòrsa:An Spàinn	Kategorio:Hispanio
Roinn-seòrsa:An t-Seapan	Kategorio:Japanio
Roinn-seòrsa:Astràilia	Kategorio:Aŭstralio
Roinn-seòrsa:Meagsago	Kategorio:Meksiko
Roinn-seòrsa:Na h-Innseachan	Kategorio:Barato
Roinn-seòrsa:Aràibia nan Sabhd	Kategorio:Sauda Arabio
Roinn-seòrsa:Israel	Kategorio:Israelo
Roinn-seòrsa:An Tuirc	Kategorio:Turkio
Roinn-seòrsa:An Èipheit	Kategorio:Egiptio
Roinn-seòrsa:Sealainn Nuadh	Kategorio:Nov-Zelando
Roinn-seòrsa:An Argantain	Kategorio:Argentino
Paramadair	Parametro
Roinn-seòrsa:0an	0-aj jaroj
20an	20-aj jaroj
Bogsa-phutan	Butonakordiono
An Caisteal Nuadh	Newcastle-upon-Tyne
Teicheadh nan Iarla	La Fuĝo de la Grafoj
1120an	1120-aj jaroj
Envigado	Envigado
Roinn-seòrsa:An Ostair	Kategorio:Aŭstrio
Roinn-seòrsa:An Innd-Innse	Kategorio:Indonezio
Roinn-seòrsa:Na Tìrean Ìsle	Kategorio:Nederlando
Roinn-seòrsa:Pacastan	Kategorio:Pakistano
Roinn-seòrsa:A' Phòlainn	Kategorio:Pollando
Roinn-seòrsa:A' Phortagail	Kategorio:Portugalio
Roinn-seòrsa:An Eilbheis	Kategorio:Svislando
Roinn-seòrsa:An Ucràin	Kategorio:Ukrainio
Roinn-seòrsa:Bhiet-Nam	Kategorio:Vjetnamio
Roinn-seòrsa:Impireachd na Ròimhe	Kategorio:Romia Imperio
Roinn-seòrsa:Mamalan	Kategorio:Mamuloj
Roinn-seòrsa:Snàigean	Kategorio:Reptilioj
Roinn-seòrsa:Eòin	Kategorio:Birdoj
Roinn-seòrsa:Eòlas-nàdair	Kategorio:Fiziko
Roinn-seòrsa:Bith-eòlas	Kategorio:Biologio
Roinn-seòrsa:Ceimigeachd	Kategorio:Kemio
Roinn-seòrsa:Eachdraidh	Kategorio:Historio
Roinn-seòrsa:Cruinn-eòlas	Kategorio:Geografio
Roinn-seòrsa:Creideamh	Kategorio:Religio
Roinn-seòrsa:Spòrs	Kategorio:Sporto
Roinn-seòrsa:Eòlas	Kategorio:Scienco
Roinn-seòrsa:An t-Aonadh Eòrpach	Kategorio:Eŭropa Unio
Reifreann air Neo-eisimealachd na h-Alba 2014	Referendumo pri sendependeco de Skotlando
Viktor Yushchenko	Viktor Juŝĉenko
Kapiti	Insulo Kapiti
Fàsach dathte (Astràilia)	Pentrita Dezerto (Aŭstralio)
Ketchum, Idaho	Ketchum (Idaho)
Itagüí	Itagüí
Breig (càr)	Bremso
Coinneach	Kenneth
Great Salt Lake Desert	Dezerto Granda Sala Lago
Bailiùn-adhair teth	Varmaerbalono
Orientalism (leabhar)	Orientalismo (libro)
Gobha	Forĝisto
Sùlaire	Suloj
Isla Grande de Tierra del Fuego	Granda Insulo de Fajrolando
Cogadh nam Boer	Brita-bura milito
Rhaeadr Gwy	Rhayader
Ball-maise	Ornamo
Panevėžys	Panevėžys
Una Voce	Una Voce
Monte Desert	Monte-Arbedaro
Fàsach Chalbi	Ĉalbi-Dezerto
Loch Innis Mo Cholmaig	Lago de Menteith
Latha a' Bhreitheanais	Lasta juĝo
Oilthigh Srath Chluaidh	Universitato de Strathclyde
Otorohanga	Otorohanga
Ad-Dahna	Daĥnao
1 Samuel	1-a libro de Samuel
Roinn-seòrsa:Soilleireachadh	Kategorio:Apartigiloj
Roinn-seòrsa:Na h-Olympics	Kategorio:Olimpikoj
Roinn-seòrsa:Feallsanachd	Kategorio:Filozofio
Roinn-seòrsa:Eòlas-inntinn	Kategorio:Psikologio
Roinn-seòrsa:Crìosdaidheachd	Kategorio:Kristanismo
Roinn-seòrsa:Islam	Kategorio:Islamo
Bodach-ròcais	Birdotimigilo
Ynys Enlli	Insulo Bardsey
Biwmares	Beaumaris
Universidad Pontificia Bolivariana	Pontifika Universitato Bolivarana
Cadha	Ravino
Àirigh	Alpopaŝtejo
Tír an Iúir	Terenure
Iolair	Aglo
Westland District	Okcidenta Distrikto
Lèineag is sgiort	Jupo
Llanwrtyd	Llanwrtyd Wells
Bealaidh	Genisto
Ocaña	Ocaña (Norda Santandero)
Còbra	Kobro
Cluain Tarbh	Clontarf (Dublino)
Dasht-e Margoh	Daŝti Margo
Bochotnica	Bochotnica
Taupo	Taupo
León de Greiff	León de Greiff
Universidade do Estado de Minas Gerais	Universidade do Estado de Minas Gerais
Ráth Garbh	Rathgar
Crughywel	Crickhowell
Aodh Rua Ó Dónaill	Aodh Rua Ó Dónaill
Fàsach Gleann Indus	Indus-vala dezerto
Conrad Bain	Conrad Bain
Blàr Sliabh an t-Siorraim	Batalo de Sheriffmuir
's-Hertogenbosch	's-Hertogenbosch
Bradan	Salmo
Unnlagh	Monpuno
Breac	Bruna truto
Roinn-seòrsa:Bun	Kategorio:Ĝermo
Roinn-seòrsa:Planaidean	Kategorio:Planedoj
Roinn-seòrsa:Cultar	Kategorio:Kulturo
Roinn-seòrsa:Mòr-roinnean	Kategorio:Kontinentoj
Roinn-seòrsa:Eòlas-talmhainn	Kategorio:Geologio
Roinn-seòrsa:Liostaichean	Kategorio:Listoj
10an	10-aj jaroj
Passamaquoddy (cànan)	Malesita-Pasamakvodja lingvo
Pàrras	Paradizo
Portobello	Portobello (Edinburgo)
Sark	Sark
Gobhar-adhair	Galinago
Roinn-seòrsa:Wikipedia bots	Kategorio:Vikipedio:Robotoj
Fernando González (ùghdair)	Fernando González Ochoa
Roinn-seòrsa:Cleasaichean nam film	Kategorio:Aktoroj
Roinn-seòrsa:LCDT	Kategorio:GLAT
Teamplaid:Userbox	Ŝablono:Uzantoskatolo1
Creag-ola	Petrolo
Roinn-seòrsa:Lagh	Kategorio:Juro
Roinn-seòrsa:Dùthchannan	Kategorio:Landoj
Roinn-seòrsa:Eaconomachd	Kategorio:Ekonomiko
Uicipeid:Administrators	Vikipedio:Administrantoj
Uicipeid:Bot policy	Vikipedio:Roboto
Roinn-seòrsa:Eadar-lìon	Kategorio:Interreto
Uicipeid:WikiProject Check Wikipedia	Projekto:Kontrolu Vikipedion
Roinn-seòrsa:Poileataigs	Kategorio:Politiko
Roinn-seòrsa:Foghlam	Kategorio:Edukado
Roinn-seòrsa:Ealain	Kategorio:Arto
Kaunas	Kaŭno
Cunntasachd	Kontado
Königsberg	Kenigsbergo
An Èipheit	Egiptujo
Roinn-seòrsa:Feallsanaiche	Kategorio:Filozofoj
Teamplaid:Bot	Ŝablono:Bot
Trafaig	Trafiko
Canada	Kanado
Roinn-seòrsa:An Ungair	Kategorio:Hungario
Roinn-seòrsa:A' Bheilg	Kategorio:Belgio
Roinn-seòrsa:An t-Seic	Kategorio:Ĉeĥio
Roinn-seòrsa:An Danmhairg	Kategorio:Danio
Roinn-seòrsa:Eastòinia	Kategorio:Estonio
Roinn-seòrsa:Suòmaidh	Kategorio:Finnlando
Roinn-seòrsa:A' Ghrèig	Kategorio:Grekio
Roinn-seòrsa:Innis Tìle	Kategorio:Islando
Roinn-seòrsa:Lucsamburg	Kategorio:Luksemburgo
Roinn-seòrsa:Liotuàinia	Kategorio:Litovio
Roinn-seòrsa:An t-Suain	Kategorio:Svedio
Roinn-seòrsa:An t-Slòbhac	Kategorio:Slovakio
Roinn-seòrsa:Sloibhìnia	Kategorio:Slovenio
Roinn-seòrsa:Poblachd na h-Èireann	Kategorio:Respubliko de Irlando
Teamplaid:Flagicon	Ŝablono:Flagikono
Roinn-seòrsa:An Roinn-Eòrpa	Kategorio:Eŭropo
Teamplaid:Documentation	Ŝablono:Dok
Uicipeid:Doras na coimhearsnachd	Portalo:Komunumo
Roinn-seòrsa:Cànain an luchd-cleachdaidh	Kategorio:Vikipediistoj laŭ lingvo
Sung Jae-gi	Sung Jae-gi
Gnothachas	Profitcela organizaĵo
Instituto Federal da Bahia	Federacia Instituto de Bahio
Teamplaid:Softredirect	Ŝablono:Intervikia plusendilo
Teamplaid:Delete	Ŝablono:Forigu tuj
Rìghrean Breatainn Mhòr agus an Rìoghachd Aonaichte	Listo de britaj reĝoj
Roinn-seòrsa:Teicneòlas	Kategorio:Teknologio
Breug	Mensogo
Roinn-seòrsa:Cànain	Kategorio:Lingvoj
Cairgean	Chondrus crispus
Uicipeid:General disclaimer	Vikipedio:Malgarantio
Saighdear	Soldato
Roinn-seòrsa:Bailtean anns an t-Seic	Kategorio:Urboj de Ĉeĥio
Teamplaid:-	Ŝablono:-
Teamplaid:Navbox	Ŝablono:Navigilo2
Teamplaid:Shortcut	Ŝablono:Mallongigo
Teamplaid:Dàta pearsa	Ŝablono:Informkesto biografio
Teamplaid:Fact	Ŝablono:Mankas fonto
Pana	PAN
Teamplaid:!	Ŝablono:!
Teamplaid:!-	Ŝablono:!-
Teamplaid:=	Ŝablono:=
Teamplaid:Navbar	Ŝablono:Tnavbar
Teamplaid:Unicode	Ŝablono:Unicode
Roinn-seòrsa:Afraga	Kategorio:Afriko
Roinn-seòrsa:Bìoball	Kategorio:Biblio
Teamplaid:Babel	Ŝablono:Babelejo
Teamplaid:Commons	Ŝablono:Commons
Teamplaid:Link GA	Ŝablono:LigoLeginda
Teamplaid:Reflist	Ŝablono:Referencoj
Teamplaid:Gnunote	Ŝablono:Gnunote
Teamplaid:Bun	Ŝablono:Ĝermo
Teamplaid:User af-1	Ŝablono:Vikipediisto af-1
Teamplaid:User ar-1	Ŝablono:Vikipediisto ar-1
Teamplaid:User eo-1	Ŝablono:Vikipediisto eo-1
Teamplaid:See also	Ŝablono:Vidu ankaŭ
Teamplaid:User da-2	Ŝablono:Vikipediisto da-2
Teamplaid:User da	Ŝablono:Vikipediisto da
Teamplaid:User be-2	Ŝablono:Vikipediisto be-2
Teamplaid:User da-1	Ŝablono:Vikipediisto da-1
Teamplaid:User eo-3	Ŝablono:Vikipediisto eo-3
Teamplaid:User de	Ŝablono:Vikipediisto de
Teamplaid:User de-1	Ŝablono:Vikipediisto de-1
Teamplaid:User el	Ŝablono:Vikipediisto el
Teamplaid:User es	Ŝablono:Vikipediisto es
Teamplaid:User de-3	Ŝablono:Vikipediisto de-3
Teamplaid:User en-3	Ŝablono:Vikipediisto en-3
Teamplaid:User en-1	Ŝablono:Vikipediisto en-1
Teamplaid:User en-2	Ŝablono:Vikipediisto en-2
Teamplaid:User fa-1	Ŝablono:Vikipediisto fa-1
Teamplaid:User eo-2	Ŝablono:Vikipediisto eo-2
Teamplaid:User en-4	Ŝablono:Vikipediisto en-4
Teamplaid:User fi	Ŝablono:Vikipediisto fi-D
Teamplaid:User en	Ŝablono:Vikipediisto en
Teamplaid:User de-2	Ŝablono:Vikipediisto de-2
Teamplaid:User es-1	Ŝablono:Vikipediisto es-1
Teamplaid:User fr-1	Ŝablono:Vikipediisto fr-1
Teamplaid:User he-2	Ŝablono:Vikipediisto he-2
Teamplaid:User id-3	Ŝablono:Vikipediisto id-3
Teamplaid:User io-3	Ŝablono:Vikipediisto io-3
Teamplaid:User it-3	Ŝablono:Vikipediisto it-3
Teamplaid:User grc-1	Ŝablono:Vikipediisto grc-1
Teamplaid:User ja-4	Ŝablono:Vikipediisto ja-4
Teamplaid:User tr-2	Ŝablono:Vikipediisto tr-2
Teamplaid:User ja	Ŝablono:Vikipediisto ja
Teamplaid:User ja-1	Ŝablono:Vikipediisto ja-1
Teamplaid:User it-1	Ŝablono:Vikipediisto it-1
Teamplaid:User hr-1	Ŝablono:Vikipediisto hr-1
Teamplaid:User fr	Ŝablono:Vikipediisto fr
Roinn-seòrsa:Moldàibhia	Kategorio:Moldavio
Roinn-seòrsa:Àisia	Kategorio:Azio
Roinn-seòrsa:An t-Sile	Kategorio:Ĉilio
Roinn-seòrsa:21mh linn	Kategorio:21-a jarcento
Roinn-seòrsa:User uk	Kategorio:Vikipediisto uk
Roinn-seòrsa:Aimearaga a Deas	Kategorio:Sudameriko
Roinn-seòrsa:Castilla y León	Kategorio:Kastilio kaj Leono
Roinn-seòrsa:User uk-N	Kategorio:Vikipediisto uk-D
Teamplaid:Intricate template	Ŝablono:Esotera
Roinn-seòrsa:Malaysia	Kategorio:Malajzio
Roinn-seòrsa:Ball-coise	Kategorio:Futbalo
Teamplaid:Mod	Ŝablono:Mod
Teamplaid:User it	Ŝablono:Vikipediisto it
Teamplaid:User uk	Ŝablono:Vikipediisto uk
Teamplaid:User es-2	Ŝablono:Vikipediisto es-2
Roinn-seòrsa:Cànanachas	Kategorio:Lingvoscienco
Teamplaid:CC-by-sa-3.0	Ŝablono:Cc-by-sa-3.0
Teamplaid:Userbox-2	Ŝablono:Uzantoskatolo-2
Roinn-seòrsa:User fr-1	Kategorio:Vikipediisto fr-1
Teamplaid:Infobox musical artist	Ŝablono:Informkesto muzika artisto
Teamplaid:Ambox	Ŝablono:ArtikolaMesaĝokesto
Teamplaid:Babel field	Ŝablono:Babel kadro
Teamplaid:Navigational templates	Ŝablono:Navigilaro
Teamplaid:Dùthaich	Ŝablono:Informkesto lando
Teamplaid:Column-count	Ŝablono:Kolumno-nombro
Teamplaid:Cogadh	Ŝablono:Informkesto milito
Teamplaid:Str left	Ŝablono:Lin mald
Teamplaid:Str sub long	Ŝablono:Lin sub
Teamplaid:Tmbox	Ŝablono:DiskutaMesaĝokesto
Teamplaid:Cleanup	Ŝablono:Polurinda
Teamplaid:Exzellent	Ŝablono:Elstara
Roinn-seòrsa:User en-4	Kategorio:Vikipediisto en-4
Roinn-seòrsa:User en	Kategorio:Vikipediisto en
Roinn-seòrsa:User zh	Kategorio:Vikipediisto zh
Roinn-seòrsa:Croàisia	Kategorio:Kroatio
Roinn-seòrsa:User zh-N	Kategorio:Vikipediisto zh-D
Roinn-seòrsa:User en-2	Kategorio:Vikipediisto en-2
Teamplaid:Infobox	Ŝablono:Informkesto
Teamplaid:TOCright	Ŝablono:TOC-dekstre
Teamplaid:Ns0	Ŝablono:Ĉu artikolo
Teamplaid:User zh	Ŝablono:Vikipediisto zh
Roinn-seòrsa:Aibidil	Kategorio:Alfabeto
Teamplaid:Template other	Ŝablono:Ĉu ŝablono
Roinn-seòrsa:Sgrìobhadairean Breatannach	Kategorio:Britaj verkistoj
Teamplaid:Cite web	Ŝablono:Citaĵo el la reto
Teamplaid:AZ	Ŝablono:A-Z
Teamplaid:Loch ann an Alba	Ŝablono:Informkesto maro
Teamplaid:User ru-4	Ŝablono:Vikipediisto ru-4
Teamplaid:Coor URL	Ŝablono:KoordinatojURL
Teamplaid:Pp-template	Ŝablono:Pp-ŝablono
Teamplaid:User nl-1	Ŝablono:Vikipediisto nl-1
Teamplaid:Wiktionary	Ŝablono:Vikivortaro
Teamplaid:User nl-2	Ŝablono:Vikipediisto nl-2
Roinn-seòrsa:Àiteachas	Kategorio:Agrikulturo
Teamplaid:Pp-semi-template	Ŝablono:Pp-duone-ŝablono
Teamplaid:User ru	Ŝablono:Vikipediisto ru
Roinn-seòrsa:20mh linn	Kategorio:20-a jarcento
Teamplaid:IPA	Ŝablono:IFA
Teamplaid:Cinn-suidhe nan Stàitean Aonaichte	Ŝablono:Prezidentoj de Usono
Roinn-seòrsa:Teamplaid:Cànan	Kategorio:Babelaj ŝablonoj
Teamplaid:LangWithName	Ŝablono:LingvoKunNomo
Teamplaid:Babel field N	Ŝablono:Babel kadro D
Roinn-seòrsa:Washington (stàit)	Kategorio:Vaŝingtonio
Teamplaid:Imbox	Ŝablono:BildaMesaĝokesto
Teamplaid:Beinn	Ŝablono:Informkesto monto
Teamplaid:Birth date and age	Ŝablono:Naskiĝdato kaj aĝo
Teamplaid:Babel field 1	Ŝablono:Babel kadro 1
Teamplaid:MONTHNAME	Ŝablono:Nomo de monato
Teamplaid:Neach-poileataigs	Ŝablono:Informkesto politikisto
Teamplaid:Death date and age	Ŝablono:Mortodato kaj aĝo
Teamplaid:MONTH	Ŝablono:Nombro de monato
Roinn-seòrsa:19mh linn	Kategorio:19-a jarcento
Roinn-seòrsa:Sgrìobhadairean	Kategorio:Verkistoj
Roinn-seòrsa:Oilthighean	Kategorio:Universitatoj
Teamplaid:Hidden begin	Ŝablono:Kaŝskatolo komenco
Teamplaid:Booland	Ŝablono:Booland
Teamplaid:User pt-1	Ŝablono:Vikipediisto pt-1
Roinn-seòrsa:Sgiobanan ball-coise Edailteach	Kategorio:Italaj futbalteamoj
Teamplaid:Hidden	Ŝablono:Kaŝskatolo
Teamplaid:User pl	Ŝablono:Vikipediisto pl
Teamplaid:User nl	Ŝablono:Vikipediisto nl
Teamplaid:User no-2	Ŝablono:Vikipediisto no-2
Teamplaid:Documentation subpage	Ŝablono:Ŝablona navigado
Teamplaid:Tlx	Ŝablono:Tlx
Teamplaid:Str len	Ŝablono:Lin longo
Teamplaid:Babel field 4	Ŝablono:Babel kadro 4
Teamplaid:User pl-1	Ŝablono:Vikipediisto pl-1
Teamplaid:Babel field 0	Ŝablono:Babel kadro 0
Teamplaid:User fr-3	Ŝablono:Vikipediisto fr-3
Teamplaid:Redirect	Ŝablono:Alidirekto
Teamplaid:User nds-1	Ŝablono:Vikipediisto nds-1
Teamplaid:Cc-by-sa-2.0	Ŝablono:Cc-by-sa-2.0
Teamplaid:Coord/link	Ŝablono:Koord/ligilo
Teamplaid:User is-1	Ŝablono:Vikipediisto is-1
