Áfríkà	Afriko
Ẹ̀ka:1916	Kategorio:1916
Ẹ̀ka:1939	Kategorio:1939
Ẹ̀ka:1909	Kategorio:1909
Àdàkọ:Oníṣe pl	Ŝablono:Vikipediisto pl
Àdàkọ:User nl	Ŝablono:Vikipediisto nl
Àdàkọ:Infobox website	Ŝablono:Informkesto retejo
Ẹ̀ka:Àwọn yunifásítì ní Brasil	Kategorio:Universitatoj kaj altlernejoj de Brazilo
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1704	Kategorio:Naskiĝintoj en 1704
Ẹ̀ka:Àwọn ọjọ́ìbí ní 2003	Kategorio:Naskiĝintoj en 2003
Àdàkọ:Image label end	Ŝablono:Marko sur bildo fino
Àdàkọ:Ẹ̀ka bíbòmọ́lẹ̀	Ŝablono:Kaŝita kategorio
Àdàkọ:Àsìá ilẹ̀ Europe	Ŝablono:Naciaj flagoj en Eŭropo
Àdàkọ:Documentation subpage	Ŝablono:Ŝablona navigado
Àdàkọ:Awon ipinle Australia	Ŝablono:Aŭstraliaj ŝtatoj kaj teritorioj
Àdàkọ:States and territories of India	Ŝablono:Ŝtatoj de Barato
Àdàkọ:CcTLD	Ŝablono:Naciaj domajnoj de plej alta nivelo
Ẹ̀ka:Ìjọba gẹ́gẹ́bí orílẹ̀-èdè	Kategorio:Registaroj laŭ landoj
Ẹ̀ka:Apáàríwá Kíprù	Kategorio:Turka Respubliko Norda Kipro
Àdàkọ:Olúìlú ásíà	Ŝablono:Aziaj ĉefurboj
Ẹ̀ka:Àwòrán kíkùn	Kategorio:Pentrado
Àdàkọ:Àwọn ìpínlẹ̀ Brasil	Ŝablono:Ŝtatoj de Brazilo
Àdàkọ:Infobox sport	Ŝablono:Informkesto Sporta disciplino
Àdàkọ:Lang-de	Ŝablono:Lang-de
Horacio Cartes	Horacio Cartes
Àdàkọ:Lang-la	Ŝablono:Lang-la
Àdàkọ:Location map USA	Ŝablono:Situo sur mapo Usono
Àdàkọ:World War I	Ŝablono:Unua mondmilito
Àdàkọ:Lang-el	Ŝablono:Lang-el
Ẹ̀ka:Àwọn olórí orílẹ̀-èdè gẹ́gẹ́bí orílẹ̀-èdè	Kategorio:Listoj de regantoj laŭ lando
Àdàkọ:DEU	Ŝablono:DEU
Àdàkọ:Infobox artist	Ŝablono:Informkesto artisto
Àdàkọ:Àwọn olúìlú ní Àríwá Amẹ́ríkà	Ŝablono:Nordamerikaj ĉefurboj
Àdàkọ:Ogun Àgbáyé Ẹlẹ́ẹ̀kejì	Ŝablono:Dua mondmilito
Àdàkọ:Infobox French region	Ŝablono:Informkesto franca regiono
Ẹ̀ka:Àwọn àkórajọ omi	Kategorio:Akvaĵoj
Ẹ̀ka:Àwọn ará Nìjẹ̀r	Kategorio:Niĝeranoj
Ẹ̀ka:Àwọn pápá ọkọ̀ òfurufú ní Vietnam	Kategorio:Flughavenoj de Vietnamio
Àdàkọ:Image label small	Ŝablono:Marko sur bildo malgranda
Àdàkọ:Babel0	Ŝablono:Babel kadro 0
Ẹ̀ka:Tùnísíà	Kategorio:Tunizio
Àdàkọ:Pp-meta	Ŝablono:Pp-meta
Ẹ̀ka:Àwọn amáralókun	Kategorio:Nutraĵo
Ẹ̀ka:Àwọn olóṣèlú ará Ṣáínà	Kategorio:Ĉinaj politikistoj
Àdàkọ:Presidents of Poland	Ŝablono:Prezidantoj de Pollando
Àdàkọ:Age in days	Ŝablono:Tagdiferenco
Àdàkọ:Ìlànà	Ŝablono:Rekomendo
Ẹ̀ka:Kọ̀mpútà	Kategorio:Komputilo
Àdàkọ:Departments of Colombia	Ŝablono:Departementoj de Kolombio
Àdàkọ:Coord/link	Ŝablono:Koord/ligilo
Àdàkọ:TZA	Ŝablono:TZA
Àdàkọ:NER	Ŝablono:NER
Àdàkọ:NGA	Ŝablono:NGA
Àdàkọ:Infobox Continent	Ŝablono:Informkesto kontinento
Àdàkọ:TCD	Ŝablono:TCD
Àdàkọ:SUL Box	Ŝablono:Uzanto SUL
Àdàkọ:Ọjọ́ ọ̀sẹ̀	Ŝablono:Tagoj de la semajno
Àdàkọ:Location map Russia Moscow Oblast	Ŝablono:Situo sur mapo Ruslando Moskva provinco
Àwọn àkójọ nọ́mbà átọ́mù àwọn apilẹ̀sẹ̀	Listo de kemiaj elementoj laŭ atomnumero
Ẹ̀ka:Púẹ́rtò Ríkò	Kategorio:Porto-Riko
Àdàkọ:Multicol-break	Ŝablono:Kolumnorompo
Ẹ̀ka:Àwọn ohun kẹ́míkà	Kategorio:Substancoj
Ẹ̀ka:Àwọn ìlú ní Orílẹ̀-èdè Amẹ́ríkà	Kategorio:Urboj de Usono
Àdàkọ:PDFlink	Ŝablono:PDFligilo
Ẹ̀ka:Àwọn ìlú ní Lower Saxony	Kategorio:Urboj de Malsupra Saksio
Àdàkọ:Lang-ru	Ŝablono:Lang-ru
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1903	Kategorio:Naskiĝintoj en 1903
Ẹ̀ka:Àwọn ilẹ̀ ọbalúayé	Kategorio:Imperioj
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1925	Kategorio:Naskiĝintoj en 1925
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1936	Kategorio:Naskiĝintoj en 1936
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1916	Kategorio:Naskiĝintoj en 1916
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1910	Kategorio:Naskiĝintoj en 1910
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1939	Kategorio:Naskiĝintoj en 1939
Ẹ̀ka:Iṣẹ́-ẹ̀rọ abẹ́lé	Kategorio:Konstrufako
Ẹ̀ka:Àwọn iṣẹ́ ẹlẹ́rọ	Kategorio:Industrioj
Ẹ̀ka:Kàríbẹ́ánì	Kategorio:Karibio
Àdàkọ:Infobox saint	Ŝablono:Informkesto sanktulo
Àdàkọ:Family tree/start	Ŝablono:Genealogia arbo/komenco
Àdàkọ:URL	Ŝablono:URL
Àdàkọ:Hidden end	Ŝablono:Kaŝskatolo fino
Ẹ̀ka:1962	Kategorio:1962
Ẹ̀ka:Àwọn ènìyàn ará Síríà	Kategorio:Sirianoj
Àdàkọ:Y	Ŝablono:Hoko
Ẹ̀ka:Swásílándì	Kategorio:Svazilando
Ẹ̀ka:Àwọn àgbájọ abófinmu	Kategorio:Juraj asocioj
Ẹ̀ka:Àwọn ará Azerbaijan	Kategorio:Azerbajĝananoj
Ẹ̀ka:Àwọn ẹgbẹ́ sósíálístì	Kategorio:Socialismaj partioj
Ẹ̀ka:Fọ́tòyíyà	Kategorio:Fotado
Ẹ̀ka:Àwọn àmì ọ̀pá àṣẹ oníbínibí	Kategorio:Ŝtataj blazonoj
Ẹ̀ka:Àwọn ìlú ní Arkansas	Kategorio:Urboj de Arkansaso
Ẹ̀ka:Àwọn olórin ará Índíà	Kategorio:Barataj muzikistoj
Ẹ̀ka:Àwọn Ọbalúayé Japan	Kategorio:Japanaj imperiestroj
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 2013	Kategorio:Mortintoj en 2013
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1938	Kategorio:Naskiĝintoj en 1938
Àdàkọ:GRC	Ŝablono:GRC
Àdàkọ:ZWE	Ŝablono:ZWE
Àdàkọ:Lang-grc	Ŝablono:Lang-grc
Àdàkọ:Igbesiaye	Ŝablono:Vivtempo
Àdàkọ:Infobox religious building	Ŝablono:Informkesto sakrala konstruaĵo
Àdàkọ:DZA	Ŝablono:DZA
Ẹ̀ka:Àwọn àgbájọ aláìjẹ́-tìèrè	Kategorio:Ne-profitaj organizaĵoj
Ẹ̀ka:Àwọn orílẹ̀-èdè sósíálístì	Kategorio:Socialismaj ŝtatoj
Ẹ̀ka:Àwọn ìlú ní Florida	Kategorio:Urboj de Florido
Àdàkọ:Lang-uk	Ŝablono:Lang-uk
Ẹ̀ka:Ìsopọ̀ kọ̀mpútà	Kategorio:Komputilaj retoj
Ẹ̀ka:Àwọn ohun ẹlẹ́ẹ̀mín	Kategorio:Vivaĵoj
Àdàkọ:Àwọn èdè sílàfù	Ŝablono:Slava lingvaro
Àdàkọ:Val	Ŝablono:Val
Àdàkọ:Lang-fr	Ŝablono:Lang-fr
Àdàkọ:Oluilu guusu amerika	Ŝablono:Sudamerikaj ĉefurboj
Àdàkọ:FRA	Ŝablono:FRA
Àdàkọ:Infobox person	Ŝablono:Informkesto homoj
Ẹ̀ka:Àwọn olórí ìjọba	Kategorio:Registarestroj
Ẹ̀ka:1953	Kategorio:1953
Àdàkọ:Àwọn olúìlú ní Europe	Ŝablono:Eŭropaj ĉefurboj
Àdàkọ:Infobox political party/seats	Ŝablono:Informkesto politika partio/ParlamentajSidoj
Àdàkọ:Extra musicsample	Ŝablono:Muzika ekzemplo
Àdàkọ:National Anthems of Africa	Ŝablono:Naciaj himnoj de Afriko
Ẹ̀ka:Àwọn ọjọ́ìbí ní ọ̀rúndún 20k	Kategorio:Naskiĝintoj en la 20-a jarcento
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1608	Kategorio:Naskiĝintoj en 1608
Ẹ̀ka:Àwọn olóṣèlú ilẹ̀ Pọ́rtúgàl	Kategorio:Portugalaj politikistoj
Àdàkọ:Àwọn Owóníná ilẹ̀ Europe	Ŝablono:Valutoj de Eŭropo
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1717	Kategorio:Naskiĝintoj en 1717
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1705	Kategorio:Naskiĝintoj en 1705
Ẹ̀ka:Àwọn tẹ́lískópù òfurufú	Kategorio:Kosmaj observatorioj
Ẹ̀ka:Àwọn agbábọ́ọ̀lù-ẹlẹ́sẹ̀ ará Côte d'Ivoire	Kategorio:Eburbordaj futbalistoj
Àdàkọ:Àwọn orílẹ̀-èdè Europe	Ŝablono:Ŝtatoj en Eŭropo
Ẹ̀ka:Àwọn agbábọ́ọ̀lù-ẹlẹ́sẹ̀ gẹ́gẹ́ bíi orílẹ̀-èdè	Kategorio:Futbalistoj laŭ landoj
Àdàkọ:Oníṣe el-0	Ŝablono:Vikipediisto el-0
Ẹ̀ka:Orílẹ̀-èdè Makẹdóníà	Kategorio:Respubliko Makedonio
Ẹ̀ka:User sk	Kategorio:Vikipediisto sk
Ẹ̀ka:Oníṣe fr	Kategorio:Vikipediisto fr
Ẹ̀ka:Oníṣe pt	Kategorio:Vikipediisto pt
Ẹ̀ka:Oníṣe sw	Kategorio:Vikipediisto sw
Ẹ̀ka:Oníṣe it-3	Kategorio:Vikipediisto it-3
Ẹ̀ka:Oníṣe sw-1	Kategorio:Vikipediisto sw-1
Ẹ̀ka:Oníṣe tr-1	Kategorio:Vikipediisto tr-1
Ẹ̀ka:Oníṣe ar-1	Kategorio:Vikipediisto ar-1
Ẹ̀ka:Oníṣe fr-N	Kategorio:Vikipediisto fr-D
Ẹ̀ka:Oníṣe it-N	Kategorio:Vikipediisto it-D
Ẹ̀ka:User nl-N	Kategorio:Vikipediisto nl-D
Ẹ̀ka:Oníṣe no-N	Kategorio:Vikipediisto no-D
Ẹ̀ka:Oníṣe ru-N	Kategorio:Vikipediisto ru-D
Ẹ̀ka:Oníṣe ar-N	Kategorio:Vikipediisto ar-D
Ẹ̀ka:Fàájì	Kategorio:Distrado
Ẹ̀ka:Àwọn ará Trínídád àti Tòbágò	Kategorio:Trinidadanoj kaj tobaganoj
Ẹ̀ka:Ìṣòwò	Kategorio:Negoco
Ẹ̀ka:Alfabeti	Kategorio:Skribsistemoj
Ẹ̀ka:Oníṣe ar	Kategorio:Vikipediisto ar
Ẹ̀ka:Ìtàn ilẹ̀ Kẹ́nyà	Kategorio:Historio de Kenjo
Ẹ̀ka:Àwọn erékùṣù	Kategorio:Insuloj
Ẹ̀ka:User sk-N	Kategorio:Vikipediisto sk-D
Àdàkọ:UF-hcard-person	Ŝablono:UF-hcard-persono
Ẹ̀ka:Oníṣe de	Kategorio:Vikipediisto de
Ẹ̀ka:Oníṣe de-2	Kategorio:Vikipediisto de-2
Ẹ̀ka:Oníṣe de-3	Kategorio:Vikipediisto de-3
Ẹ̀ka:Oníṣe de-4	Kategorio:Vikipediisto de-4
Ẹ̀ka:Oníṣe de-N	Kategorio:Vikipediisto de-D
Ẹ̀ka:Oníṣe el	Kategorio:Vikipediisto el
Ẹ̀ka:Oníṣe el-3	Kategorio:Vikipediisto el-3
Ẹ̀ka:Oníṣe en-3	Kategorio:Vikipediisto en-3
Ẹ̀ka:Oníṣe en-5	Kategorio:Vikipediisto en-5
Ẹ̀ka:Oníṣe en-N	Kategorio:Vikipediisto en-D
Ẹ̀ka:Oníṣe es	Kategorio:Vikipediisto es
Ẹ̀ka:Oníṣe es-2	Kategorio:Vikipediisto es-2
Ẹ̀ka:Sao Tome àti Principe	Kategorio:Sao-Tomeo kaj Principeo
Ẹ̀ka:Àwọn ènìyàn ará Ìránì	Kategorio:Irananoj
Ìṣeìjọánglíkánì	Anglikanismo
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1904	Kategorio:Mortintoj en 1904
Ẹ̀ka:Ìṣèlú gẹ́gẹ́bí orílẹ̀-èdè	Kategorio:Politiko laŭ landoj
Ẹ̀ka:Àwọn Ààrẹ ilẹ̀ Venezuela	Kategorio:Prezidantoj de Venezuelo
Ẹ̀ka:Oníṣe pt-1	Kategorio:Vikipediisto pt-1
Ẹ̀ka:Àwọn ará Àríwá Amẹ́ríkà	Kategorio:Nordamerikanoj
Àdàkọ:Box-shadow	Ŝablono:Kesta ombro
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1793	Kategorio:Naskiĝintoj en 1793
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1852	Kategorio:Mortintoj en 1852
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1880	Kategorio:Mortintoj en 1880
Ẹ̀ka:1812	Kategorio:1812
Àdàkọ:Àwọn Orílẹ̀-èdè Aṣọ̀kan	Ŝablono:Unuiĝintaj Nacioj
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1942	Kategorio:Mortintoj en 1942
Ẹ̀ka:Àwọn Erékùṣù Kánárì	Kategorio:Kanarioj
Ẹ̀ka:Àwọn oníṣọ̀nà	Kategorio:Artistoj
Ẹ̀ka:Àwọn ilé àti ìdòpómúlẹ̀ ní orílẹ̀-èdè	Kategorio:Fortikaĵoj laŭ landoj
Ẹ̀ka:Oníṣe it	Kategorio:Vikipediisto it
Ẹ̀ka:Oníṣe it-1	Kategorio:Vikipediisto it-1
Ẹ̀ka:Àwọn Ìpínlẹ̀ Orílẹ̀-èdè Amẹ́ríkà	Kategorio:Usonaj ŝtatoj
Àdàkọ:Infobox currency	Ŝablono:Informkesto valuto
Ẹ̀ka:Àwọn olórin ará Nàìjíríà	Kategorio:Niĝeriaj muzikistoj
Àdàkọ:Àwífún àwòrán	Ŝablono:Informo por dosiero
Ẹ̀ka:Ìmòye àwùjọ	Kategorio:Socia filozofio
Ẹ̀ka:Àwọn ẹlẹ́bùn Akádẹ́mì	Kategorio:Tenantoj de Oskaro
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1922	Kategorio:Mortintoj en 1922
Ẹ̀ka:November	Kategorio:Novembro
Ẹ̀ka:Àwọn ará Ukréìn	Kategorio:Ukrainoj
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1777	Kategorio:Mortintoj en 1777
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1793	Kategorio:Mortintoj en 1793
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1794	Kategorio:Mortintoj en 1794
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1703	Kategorio:Mortintoj en 1703
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1822	Kategorio:Mortintoj en 1822
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1931	Kategorio:Mortintoj en 1931
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1827	Kategorio:Mortintoj en 1827
Ẹ̀ka:Oníṣe ru-1	Kategorio:Vikipediisto ru-1
Wikipedia:Babel	Vikipedio:Babelejo
Ẹ̀ka:Ìwà ọ̀daràn	Kategorio:Kriminaleco
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1798	Kategorio:Mortintoj en 1798
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1829	Kategorio:Mortintoj en 1829
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1826	Kategorio:Mortintoj en 1826
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1799	Kategorio:Mortintoj en 1799
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1778	Kategorio:Mortintoj en 1778
Ẹ̀ka:Àwọn àdàpọ̀ kẹ́míkà	Kategorio:Kemiaj kombinaĵoj
Ẹ̀ka:Àwọn ènìyàn ará Panamá	Kategorio:Panamanoj
Ẹ̀ka:Àwọn ará Kúbà	Kategorio:Kubanoj
Àdàkọ:Polygons	Ŝablono:Plurlateroj
Àdàkọ:Climate chart	Ŝablono:Klimata diagramo
Àdàkọ:Sidebar with collapsible lists	Ŝablono:Flanka kesto kun kaŝeblaj listoj
Ẹ̀ka:March	Kategorio:Marto
Ẹ̀ka:Àwọn ará Pólàndì	Kategorio:Poloj
Ẹ̀ka:Àwọn ará Ilẹ̀gẹ̀ẹ́sì	Kategorio:Angloj
Ẹ̀ka:September	Kategorio:Septembro
Ẹ̀ka:October	Kategorio:Oktobro
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1994	Kategorio:Mortintoj en 1994
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1906	Kategorio:Naskiĝintoj en 1906
Ẹ̀ka:Jẹ́ọ́gráfì bíi orílẹ̀-èdè	Kategorio:Geografio laŭ landoj
Ẹ̀ka:Àwọn omi òkun	Kategorio:Maroj
Ẹ̀ka:December	Kategorio:Decembro
Ẹ̀ka:August	Kategorio:Aŭgusto
Ẹ̀ka:May	Kategorio:Majo
Ẹ̀ka:Òkòwò àgbáyé	Kategorio:Internacia ekonomio
Ẹ̀ka:Àwọn Ìpínlẹ̀ Àṣepapọ̀ ilẹ̀ Mikronésíà	Kategorio:Federacio de Mikronezio
Àdàkọ:Infobox canal	Ŝablono:Informkesto kanalo
Zaire	Zaire
Ẹ̀ka:Ìṣèlú ilẹ̀ Mọ́rísì	Kategorio:Politiko de Maŭricio
Ẹ̀ka:Àwọn òṣeré gẹ́gẹ́bí ọmọorílẹ̀-èdè	Kategorio:Aktoroj laŭ landoj
Ẹ̀ka:April	Kategorio:Aprilo
Àdàkọ:Languages	Ŝablono:Babel-ligilaro
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 2009	Kategorio:Mortintoj en 2009
Ẹ̀ka:Àngúíllà	Kategorio:Angvilo
Ẹ̀ka:Àníyàn	Kategorio:Pensado
Ẹ̀ka:Ìtàn ilẹ̀ Sòmálíà	Kategorio:Historio de Somalio
Ẹ̀ka:Àwọn ẹ̀rúndún	Kategorio:Jarmiloj
Ẹ̀ka:Sístẹ̀mù Òrùn	Kategorio:Sunsistemo
Àdàkọ:Coord/dms2dec	Ŝablono:Koord/gmsaldek
Àdàkọ:Àwọn Orin-ìyìn orílẹ̀-èdè Gúúsù Amẹ́ríkà	Ŝablono:Naciaj himnoj de Sud-Ameriko
Ẹ̀ka:Àwọn òkòwò	Kategorio:Ekonomio
Ẹ̀ka:Àwọn àgbájọ káríayé	Kategorio:Internaciaj organizaĵoj
Ẹ̀ka:Iṣẹ́ ẹlẹ́rọ	Kategorio:Industrio
Ẹ̀ka:Dómíníkì Olómìnira	Kategorio:Domingo
Ẹ̀ka:Omi	Kategorio:Akvo
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1768	Kategorio:Mortintoj en 1768
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 2005	Kategorio:Mortintoj en 2005
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1983	Kategorio:Naskiĝintoj en 1983
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1991	Kategorio:Mortintoj en 1991
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1992	Kategorio:Mortintoj en 1992
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1992	Kategorio:Naskiĝintoj en 1992
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1907	Kategorio:Mortintoj en 1907
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1970	Kategorio:Naskiĝintoj en 1970
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1980	Kategorio:Mortintoj en 1980
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 2008	Kategorio:Mortintoj en 2008
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1986	Kategorio:Mortintoj en 1986
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1966	Kategorio:Mortintoj en 1966
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1946	Kategorio:Mortintoj en 1946
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1938	Kategorio:Mortintoj en 1938
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1984	Kategorio:Naskiĝintoj en 1984
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1962	Kategorio:Mortintoj en 1962
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1959	Kategorio:Mortintoj en 1959
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1943	Kategorio:Mortintoj en 1943
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1990	Kategorio:Naskiĝintoj en 1990
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1934	Kategorio:Mortintoj en 1934
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1949	Kategorio:Mortintoj en 1949
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1974	Kategorio:Naskiĝintoj en 1974
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1947	Kategorio:Mortintoj en 1947
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1911	Kategorio:Mortintoj en 1911
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1903	Kategorio:Mortintoj en 1903
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 2007	Kategorio:Mortintoj en 2007
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1965	Kategorio:Naskiĝintoj en 1965
Ẹ̀ka:Àwọn ojọ́ìbí ní 1940	Kategorio:Naskiĝintoj en 1940
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1898	Kategorio:Naskiĝintoj en 1898
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1863	Kategorio:Naskiĝintoj en 1863
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1867	Kategorio:Naskiĝintoj en 1867
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1871	Kategorio:Naskiĝintoj en 1871
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1862	Kategorio:Naskiĝintoj en 1862
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1977	Kategorio:Naskiĝintoj en 1977
Ẹ̀ka:1845	Kategorio:1845
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1899	Kategorio:Naskiĝintoj en 1899
Ẹ̀ka:1844	Kategorio:1844
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1931	Kategorio:Naskiĝintoj en 1931
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1915	Kategorio:Naskiĝintoj en 1915
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1929	Kategorio:Naskiĝintoj en 1929
Àdàkọ:Oníṣe sw-1	Ŝablono:Vikipediisto sw-1
Ẹ̀ka:Àwọn olórin ará Jamáíkà	Kategorio:Jamajkaj muzikistoj
Ẹ̀ka:Àwọn Alákòóso Àgbà	Kategorio:Ĉefministroj
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 632	Kategorio:Mortintoj en 632
Ẹ̀ka:Àwọn Ààrẹ gẹ́gẹ́bí orílẹ̀-èdè	Kategorio:Prezidantoj laŭ nacieco
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1954	Kategorio:Naskiĝintoj en 1954
Ẹ̀ka:Àwọn ẹ̀ka gẹ́gẹ́bí àsìkò	Kategorio:Kategorioj laŭ tempo
Ẹ̀ka:Àwọn ẹ̀bùn	Kategorio:Premioj
Ẹ̀ka:Àwọn àṣàìlajú	Kategorio:Civilizoj
Ẹ̀ka:Àwọn èdè gẹ́gẹ́ bíi orílẹ̀-èdè wọn	Kategorio:Lingvoj laŭ landoj
Ẹ̀ka:Àwọn ojọ́ìbí ní àwọn ọdún 1890	Kategorio:Naskiĝintoj en 1890-1899
Ẹ̀ka:Àwọn sáyẹ́nsì àwùjọ	Kategorio:Socia scienco
Ẹ̀ka:Bẹ̀lárùs	Kategorio:Belorusio
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1960	Kategorio:Naskiĝintoj en 1960
Ẹ̀ka:Àwọn akọrin ará Kánádà	Kategorio:Kanadaj kantistoj
Ẹ̀ka:Àwọn Ààrẹ ilẹ̀ Urugúáì	Kategorio:Prezidantoj de Urugvajo
Ẹ̀ka:Ẹ̀kọ́ ní Itálíà	Kategorio:Edukado en Italio
Ẹ̀ka:Ẹ̀kọ́ ní Jẹ́mánì	Kategorio:Edukado en Germanio
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1830	Kategorio:Mortintoj en 1830
Ẹ̀ka:Àwọn ọjọ́aláìsí ní ẹ̀wádún 1990	Kategorio:Mortintoj en 1990-1999
Ẹ̀ka:Àwọn ẹ̀ka gẹ́gẹ́bí ọ̀rúndún	Kategorio:Kategorioj laŭ jarcentoj
Ẹ̀ka:Àwọn ọjọ́aláìsí ní ẹ̀wádún 1980	Kategorio:Mortintoj en 1980-1989
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1993	Kategorio:Mortintoj en 1993
Ẹ̀ka:Àwọn orílẹ̀-èdè Áfríkà	Kategorio:Afrikaj landoj
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1998	Kategorio:Mortintoj en 1998
Ẹ̀ka:Ìtẹ̀wéjáde	Kategorio:Eldonado
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1951	Kategorio:Naskiĝintoj en 1951
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1881	Kategorio:Mortintoj en 1881
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1882	Kategorio:Mortintoj en 1882
Ẹ̀ka:Àwọn ọjọ́aláìsí ní 1883	Kategorio:Mortintoj en 1883
Ẹ̀ka:Ẹ̀wádún 1910	Kategorio:1910-1919
Ẹ̀ka:Ẹ̀wádún 1920	Kategorio:1920-1929
Ẹ̀ka:Ẹ̀wádún 1950	Kategorio:1950-1959
Ẹ̀ka:Ẹ̀wádún 1990	Kategorio:1990-1999
Ẹ̀ka:Ẹ̀wádún 2000	Kategorio:2000-aj jaroj
Ẹ̀ka:Ẹ̀wádún 2010	Kategorio:2010-aj jaroj
Ẹ̀ka:1523	Kategorio:1523
Ẹ̀ka:Ìṣèlú ilẹ̀ Kẹ́nyà	Kategorio:Politiko de Kenjo
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1473	Kategorio:Naskiĝintoj en 1473
Ẹ̀ka:Oníṣe pt-N	Kategorio:Vikipediisto pt-D
Ẹ̀ka:Oníṣe ru	Kategorio:Vikipediisto ru
Ẹ̀ka:Àdàkọ èdè àwọn oníṣe ar	Kategorio:Babelaj ŝablonoj/ar
Ẹ̀ka:Àdàkọ èdè àwọn oníṣe es	Kategorio:Babelaj ŝablonoj/es
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1596	Kategorio:Naskiĝintoj en 1596
Ẹ̀ka:Àdàkọ èdè àwọn oníṣe uk	Kategorio:Babelaj ŝablonoj/uk
