આફ્રિકા	Afriko
આશ્રમશાળા	Internulejo
અમરાવતી	Amravati
વિંધ્યાચલ	Vindhya-Montaro
દિસપુર	Dispur
ભારતમાં સત્તાવાર દરજ્જો ધરાવતી ભાષાઓ	Naciaj lingvoj de Barato
હરદ્વાર	Haridwar
સાગુઆરો (થોર)	Saguaro
સીતાફળ	Sukerpomo
બાળપણ	Infanaĝo
માહે	Maheo
એશિયાઇ ચિત્તો	Azia gepardo
ગઝલ	Gazalo
સફેદ પીઠ ગીધ	Afrika gipo
સર્પગ્રીવા	Orienta sagobirdo
ખેરખટ્ટો	Ruĝeca arbopigo
બાબા રામદેવ	Ramakiŝano Jadav
ટિલોર	Koluma otido
મિડાસ	Midaso
આમળાં	Embliko
ગુરુ ગોવિંદસિંહ	Gobind Singh
જગદીશચંદ્ર બોઝ	Jagadish Chandra Bose
ગુલઝારીલાલ નંદા	Gulzarilal Nanda
બુકર ટી.વોશિંગ્ટન	Booker T. Washington
કાબરો કલકલીયો	Blanknigra alciono
પેરુ (ફળ)	Gujavo
બદામી વાઘોમડા	Bruna naivulo
ઘી	Gio
ભારતીય સિનેમા	Barata kinematografio
વ્યાસ	Vjaso
કોટા	Kota (Raĝastano)
મુરાદાબાદ	Moradabad
ભીમ બેટકાની ગુફાઓ	Bhimbetka
સામાન્ય તપાસની કક્ષાની બહારનું	Paranormaleco
ગીર રાષ્ટ્રીય ઉદ્યાન અને અભયારણ્ય	Gir-arbara Nacia Parko
દિવેલ	Ricinoleo
ક્રેડિટ સૂઈસ	Credit Suisse
રાયપુર (છત્તીસગઢ)	Rajpuro
ચિત્તાગોંગ	Ĉitagongo
ક્રિયાવિશેષણ	Adverbo
મોતીલાલ નહેરૂ	Motilal Nehru
વિડિયો કેસેટ રેકોર્ડર (વીસીઆર)	Magnetoskopo
સોજી	Semolo
વસ્તીવધારો	Loĝantarkresko
માથ્થીની લખેલી સુવાર્તા	Evangelio laŭ Mateo
અગ્નિ	Agni
સાંગલી	Sangli
લોપકચિહ્ન	Apostrofo
સુવર્ણ મંદિર	Ora Templo
અમરનાથ (તીર્થધામ)	Amarnath
ફેડએક્સ	FedEx
હસ્તિનાપુર	Hastinapuro
દાર્જીલીંગ હિમાલયન રેલ્વે	Darĝilinga Himalaja Fervojo
પૂર્વ ઘાટ	Orientaj Ghatoj
વેરાઇઝન કમ્યુનિકેશન્સ	Verizon Communications
રામફળ	Reteta anono
બળદ	Okso
ભારતનું બંધારણ	Konstitucio de Barato
નવરોઝ	Noruzo
શૈલી	Ĝenro
અનુકૂલન	Adaptado
ગુરુ	Guruo
એન્ડ્રુ કાર્નેગી	Andrew Carnegie
મગ	Mungfabo
ઇ-કોમર્સ	Elektronika komerco
ઔરંગઝેબ	Aŭrangzebo
રાની મુખર્જી	Rani Mukerji
હુમાયુ	Humajun
દુનિયાની પ્રાચીન સાત અજાયબીઓ	Sep mirindaĵoj de la antikva mondo
સમોસા	Samoso (manĝaĵo)
વર્ણકોષાશય	Kromatoforo
દેશી કાગડો	Blanknuka korvo
બકરી ઈદ	Eid ul-Adha
ભૂસ્તરશાસ્ત્રી	Geologo
ગુલાબી પેણ	Rozdorsa pelikano
રોનાલ્ડો	Ronaldo
ઉધઈ	Termito
નાશ પામેલા કપોત	Rafedoj
ભરતપુર	Bharatpur (Barato)
મલાગીર કસ્તુરો	Oranĝakapa turdo
શ્યામમુખ વાઘોમડા	Maskonaivulo
મધિયો	Orienta vespobuteo
જનમેજય	Ĝanameĝaja
દહીં	Kazeo
અરવલ્લી	Aravali-Montaro
ડેરી	Laktouzino
ઉજળો ગીધ	Himalaja gipo
ભિવંડી	Bhivandi
ખંભાતનો અખાત	Kambej-Golfo
સાધુ	Sadhuo
ઘંટી	Muelŝtono
માચુ પીચુ	Maĉupikĉuo
વિપશ્યના	Vipassano
તેલંગાણા	Telangano
પક્ષી અવલોકન	Birdumo
વાલ્મીકિ	Valmikio
ઋગ્વેદ	Rigvedo
હઠ યોગ	Hatha Jogo
વીંજ	Malgranda hindia zibeto
યેઘીશે ચારેન્ત્સ	Jeghiŝe Ĉarenc
કાળો જળ કાગડો	Hindia kormorano
તાંગ્ગુલા રેલ્વે સ્ટેશન (તિબેટ)	Tanggula fervoja stacio
ભાગલપુર	Bagalpur
દક્ષિણ એશિયા	Suda Azio
વિલિયમ વિલ્સન(તરણશાસ્ત્રી)	William Wilson (naĝado)
દરજીડો	Komuna tajlorbirdo
બાબર	Babur
કોયલ	Azia koelo
શિન્તો	Ŝintoismo
સમઘન	Kubo (geometrio)
નાનો કરકરીયો	Kampokanbirdo
ચાતક	Makulkukolo
પુરુષનું પ્રજનનતંત્ર	Viraj seksorganoj
એસ્કેરિયાસિસ	Askaridinfekto
ડાંગર	Rizkampo
કુંતી	Kunti
કચ્છનો અખાત	Kutĉ-Golfo
વિકિપીડિયાની યાદી	ISO 639-3
પાંડુ	Panduo
ઘોરાડ	Hindia otido
ભારતનું પ્રવેશદ્વાર	Pordego al Barato (Mumbajo)
નોબેલ પારિતોષિક વડે સન્માનીત મહિલાઓ	Nobel-premiitinoj
મદદ:સૂચિ	Helpo:Enhavo
જ્ઞાનપીઠ એવોર્ડ	Gjanpith
પાપડ	Papadamo
સ્વામિનારાયણ	Svaminarajan
તીતર	Griza frankolino
ખાખરો	Butea monosperma
શાસ્ત્રીય ભાષા	Klasika lingvo
ગોરડ	Senegala akacio
ફોર્બ્સ	Forbes
યુધિષ્ઠિર	Judiŝtiro
વરૂણ	Varuno
માંડ્યા	Mandya
હેલ બેરી	Halle Berry
દ્રૌપદી	Draŭpadi
દરિયાઈ પ્રદૂષણ	Marpoluado
કચ્છ જિલ્લો	Kutĉ-Distrikto
ચીપકો આંદોલન	Ĉipko
કંસારો (પક્ષી)	Sangofrunta barbulo
દર્શન	Hinda filozofio
શિરાજી કાબર	Ganga akridotero
લિવરપૂલ ફૂટબોલ ક્લબ	Liverpool FC
દાળ	Dal
પ્રજાસત્તાક દિન (ભારત)	Tago de Respubliko en Barato
પુરી (વાનગી)	Purio (manĝaĵo)
પંજાબ (સંદિગ્ધ)	Panĝabo
નાયર	Nair
વન કાબર	Helventra akridotero
દૂધી	Lagenario
કમ્પ્યુટર નેટવર્ક	Komputila reto
ત્રિપિટક	Tripitako
અંડ કોષ	Ovolo (bestoscienco)
માંકેવી વયંસેવ	Agnes Monica
એલચો	Amomo
યુ.કે. પોસ્ટકોડ્સ	Poŝtkodoj en Britio
વિક્રમ સંવત	Vikram Samvat
શાહ અબ્દુલ લતીફ ભીતાઈ	Ŝaho Abdul Latif
દુર્યોધન	Durjodano
શ્રેણી:ચીન	Kategorio:Ĉinio
શ્રેણી:જાપાન	Kategorio:Japanio
શ્રેણી:ઓસ્ટ્રેલિયા	Kategorio:Aŭstralio
શ્રેણી:ભારત	Kategorio:Barato
શ્રેણી:નેધરલેંડ	Kategorio:Nederlando
શ્રેણી:પાકિસ્તાન	Kategorio:Pakistano
શ્રેણી:પક્ષી	Kategorio:Birdoj
શ્રેણી:વનસ્પતિ	Kategorio:Plantoj
શ્રેણી:ભૌતિકવિજ્ઞાન	Kategorio:Fiziko
શ્રેણી:જીવવિજ્ઞાન	Kategorio:Biologio
શ્રેણી:રસાયણવિજ્ઞાન	Kategorio:Kemio
શ્રેણી:ભૂગોળ	Kategorio:Geografio
શ્રેણી:વિજ્ઞાન	Kategorio:Scienco
કોરોનરિ એન્જિયોગ્રાફિ	Korkateterado
રાઈતું	Raita
પેશી ઇજનેરી	Hista inĝenierarto
કાંટાવાળી ખડ ફુત્કી	Brida herbobirdo
રામચકલી-પીળી ચોટલી	Flavvizaĝa paruo
અધરંગ	Tikela muŝkaptulo
દેવચકલી	Blankaŝultra saksikolo
પીરોજી માખીમાર	Lazura muŝkaptulo
કાબરી રામચકલી	Suda nigra paruo
અમૃતા પ્રિતમ	Amrita Pritam
ઢાંચો:Dts	Ŝablono:Dts
માદ્રી	Madri
સોપારી	Betelaĵo
શ્રીહરિકોટા	Sriharikoto
બિન-વેધક મૈથુન	Masturbado
અનિદ્રા	Sendormeco
સિંગાપુરી ચેરી	Muntingia calabura
રતાળુ	Ube-ignamo
શાંતનુ	Ŝantano
ઇન્દ્રપ્રસ્થ	Indraprasto
શ્રેણી:સંદિગ્ધ શીર્ષક વાળાં પાનાં	Kategorio:Apartigiloj
શ્રેણી:મનોવિજ્ઞાન	Kategorio:Psikologio
વિચિત્રવિર્ય	Viĉitravirjo
ચાડિયો	Birdotimigilo
ચિત્રાંગદ	Ĉitrangado
વિદુર	Viduro
કોકિલાકાર	Avelbrusta malkohao
સત્યવતી	Satjavati
પરિક્ષિત	Parikŝito
ગરુડ	Aglo
રાત્રિ સ્ખલન	Polucio
કૂકડો	Virkoko
અલીપોર	Alipore
મોસંબી	Limedujo
સાર્વભૌમ દેશોના રાષ્ટ્રધ્વજોની ચિત્રગેલેરી	Listo de naciaj flagoj
પાઘડી	Turbano
બેટમેન (ચિત્રકથા)	Batman
તારક મેહતા કા ઉલ્ટા ચશ્મા	Taarak Mehta Ka Ooltah Chashmah
સત્યના પ્રયોગો અથવા આત્મકથા	Miaj eksperimentoj kun la vero
અંક	Hindaj ciferoj
રાજેન્દ્ર શાહ	Rajendra Keshavlal Shah
રાજમા (વાનગી)	Ruĝa renfazeolo
ફેલુદા	Feluda
પિયાસણ (બતક)	Fajfanasoj
તલ	Hindia sezamo
શ્રેણી:સ્ટબ	Kategorio:Ĝermo
શ્રેણી:સંસ્કૃતિ	Kategorio:Kulturo
ઢાંચો:સૌરમંડળ	Ŝablono:Sunsistemo
પટ્ટાઈ	Cirkuenoj
વિકિપીડિયા:HotCat	Vikipedio:VarmaKato
કૈલાશ સત્યાર્થી	Kailash Satyarthi
ઢાંચો:Location map India Gujarat	Ŝablono:Situo sur mapo Barato Guĝarato
સલગમ	Rapo
ઢાંચો:ઉક્તિ	Ŝablono:Citaĵo
કેરી	Mangarbo
સર્જિયો માત્તારેલા	Sergio Mattarella
ઢાંચો:Location map Scotland	Ŝablono:Situo sur mapo Skotlando
વિકિપીડિયા:પ્રબંધક	Vikipedio:Administrantoj
શ્રેણી:વ્યક્તિત્વ	Kategorio:Personoj
શ્રેણી:Pages with malformed coordinate tags	Kategorio:Paĝoj kun misformitaj etikedoj por koordinatoj
શ્રેણી:કલા	Kategorio:Arto
ઇજિપ્ત	Egiptujo
રવીન્દ્ર પ્રભાત	Ravindra Prabhat
વિકિપીડિયા:વિકિપરિયોજના	Vikipedio:Projektoj
ઢાંચો:Bot	Ŝablono:Bot
વિકિપીડિયા:વિકિપીડિયા શું નથી	Vikipedio:Kio Vikipedio ne estas
કેનેડા	Kanado
વિકિપીડિયા:પ્રકાશનાધિકાર	Vikipedio:Aŭtorrajto
વિકિપીડિયા:પ્રબંધકોનું સૂચનપટ	Vikipedio:Diskutejo/Administrejo
શ્રેણી:યુરોપ	Kategorio:Eŭropo
વિકિપીડિયા:વર્તમાન ઘટનાઓ	Vikipedio:Aktualaĵoj
ઢાંચો:Documentation	Ŝablono:Dok
શ્રેણી:રદ કરવા માટેના પાના	Kategorio:Vikipedio:Forigoj
શ્રેણી:સભ્યોની ભાષાઓ	Kategorio:Vikipediistoj laŭ lingvo
વિકિપીડિયા:પાયાના પાંચ સિદ્ધાંત	Vikipedio:Kvin principoj
વિકિપીડિયા:નિષ્પક્ષ દૃષ્ટિકોણ	Vikipedio:Neŭtrala vidpunkto
વિકિપીડિયા:પ્રારંભિક સંશોધન નહીં	Vikipedio:Ne faru originalan esploradon
વિકિપીડિયા:નોંધનીયતા	Vikipedio:Menciindeco
વિકિપીડિયા:બાહ્ય કડીઓ	Vikipedio:Eksteraj ligiloj
વિકિપીડિયા:ઉચિત વપરાશ	Vikipedio:Regularo pri justa uzo
વિકિપીડિયા:સહીઓ	Helpo:Subskribo
વિકિપીડિયા:જીવંત વ્યક્તિઓનું જીવન ચરિત્ર	Vikipedio:Biografioj de vivantaj homoj
મદદ:Footnotes	Helpo:Referencoj kaj piednotoj
ઢાંચો:Softredirect	Ŝablono:Intervikia plusendilo
ઢાંચો:Delete	Ŝablono:Forigu tuj
ઢાંચો:Please leave this line alone (sandbox heading)	Ŝablono:Proveja rubriko
ન્યાયશાસ્ત્ર	Jurfilozofio
શ્રેણી:ભાષાઓ	Kategorio:Lingvoj
શ્રેણી:વિકિપીડિયા	Kategorio:Vikipedio
વિકિપીડિયા:General disclaimer	Vikipedio:Malgarantio
શ્રેણી:તૂટી ફાઈલ કડીઓને સાથે પાના	Kategorio:Paĝoj kun eraraj dosierligiloj
ઢાંચો:Navbox	Ŝablono:Navigilo2
કાંગારુ	Kanguruo
ઢાંચો:Track listing	Ŝablono:Kantolisto
ઢાંચો:Nutshell	Ŝablono:Resumo
ઢાંચો:!	Ŝablono:!
ઢાંચો:Tnavbar	Ŝablono:Tnavbar
ઢાંચો:Small	Ŝablono:Malgrande
ઢાંચો:Trim	Ŝablono:Trim
ઢાંચો:Nowrap	Ŝablono:Nrsp
ઢાંચો:Tooltip	Ŝablono:Diskreta mallongigo
ઢાંચો:Anchor	Ŝablono:Ankro
વિકિપીડિયા:દરેક ભાષાના વિકિપીડિયામાં હોય એવા પ્રારંભિક લેખોની યાદી	Vikipedio:Listo de havendaj artikoloj
શ્રેણી:આફ્રિકા	Kategorio:Afriko
શ્રેણી:જુલાઇ	Kategorio:Julio
શ્રેણી:જૂન	Kategorio:Junio
ઢાંચો:વિકિસ્રોત	Ŝablono:Vikifontaro
ઢાંચો:Babel	Ŝablono:Babelejo
ઢાંચો:Commons	Ŝablono:Commons
ઢાંચો:Reflist	Ŝablono:Referencoj
વિકિપીડિયા:સંદર્ભ	Vikipedio:Citi fontojn
ઢાંચો:સ્ટબ	Ŝablono:Ĝermo
ઢાંચો:See also	Ŝablono:Vidu ankaŭ
ઢાંચો:User de	Ŝablono:Vikipediisto de
ઢાંચો:User de-1	Ŝablono:Vikipediisto de-1
ઢાંચો:User en-3	Ŝablono:Vikipediisto en-3
ઢાંચો:User en-2	Ŝablono:Vikipediisto en-2
ઢાંચો:User en-4	Ŝablono:Vikipediisto en-4
ઢાંચો:User en	Ŝablono:Vikipediisto en
ઢાંચો:User de-2	Ŝablono:Vikipediisto de-2
ઢાંચો:User fr	Ŝablono:Vikipediisto fr
ઢાંચો:Pl icon	Ŝablono:Pl
શ્રેણી:ફેબ્રુઆરી	Kategorio:Februaro
શ્રેણી:એશિયા	Kategorio:Azio
શ્રેણી:ચીલી	Kategorio:Ĉilio
ઢાંચો:Mod	Ŝablono:Mod
શ્રેણી:૧૯૧૦	Kategorio:1910
ઢાંચો:SIL	Ŝablono:ISO639-3 ligilo
ઢાંચો:Infobox football club	Ŝablono:Informkesto futbalteamo
ઢાંચો:સ્વાગત	Ŝablono:Bonvenon
ઢાંચો:Wikipediasister	Ŝablono:ĈefPaĝo/AliajProjektoj
ઢાંચો:Football kit	Ŝablono:Ĉemizo
ઢાંચો:Click	Ŝablono:Ligo el bildo
ઢાંચો:Image label	Ŝablono:Marko sur bildo
ઢાંચો:અધિકૃત જાળસ્થળ	Ŝablono:Oficiala retejo
ઢાંચો:માહિતીચોકઠું કેન્દ્રીય બેંક	Ŝablono:Informkesto centra banko
ઢાંચો:Stub Category	Ŝablono:Ĝermokategorio
ઢાંચો:ભૌગોલિક સ્થાન	Ŝablono:Geografia ĉirkaŭaĵo
ઢાંચો:માહિતીચોકઠું સંગીત કલાકાર	Ŝablono:Informkesto muzika artisto
ઢાંચો:Collapsible list	Ŝablono:Kaŝebla listo
ઢાંચો:Es icon	Ŝablono:Es
ઢાંચો:Ambox	Ŝablono:ArtikolaMesaĝokesto
ઢાંચો:Wikipedia category	Ŝablono:Prizorga kategorio
ઢાંચો:Hide in print	Ŝablono:Ne presu
ઢાંચો:Navigation templates	Ŝablono:Navigilaro
ઢાંચો:Refimprove	Ŝablono:Nesufiĉaj fontoj
ઢાંચો:માહિતીચોકઠું દેશ	Ŝablono:Informkesto lando
ઢાંચો:Infobox Software	Ŝablono:Informkesto programaro
ઢાંચો:Column-count	Ŝablono:Kolumno-nombro
ઢાંચો:Infobox airline	Ŝablono:Informkesto flugkompanio
ઢાંચો:Str left	Ŝablono:Lin mald
ઢાંચો:Str sub long	Ŝablono:Lin sub
ઢાંચો:Audio	Ŝablono:Aŭdio
ઢાંચો:Flat list	Ŝablono:Listo de elementoj
ઢાંચો:Tmbox	Ŝablono:DiskutaMesaĝokesto
ઢાંચો:Navbox with columns	Ŝablono:Navigilo kun kolumnoj
ઢાંચો:S-start	Ŝablono:Komencskatolo
ઢાંચો:Nom	Ŝablono:Nomumita
ઢાંચો:Cite paper	Ŝablono:Citaĵo el gazeto
ઢાંચો:માહિતીચોકઠું કંપની	Ŝablono:Informkesto firmao
ઢાંચો:Cite news	Ŝablono:Citaĵo el novaĵo
ઢાંચો:Family tree	Ŝablono:Genealogia arbo
ઢાંચો:S-aft	Ŝablono:S-aft
ઢાંચો:ઉમદા લેખ	Ŝablono:Elstara
ઢાંચો:માહિતીચોકઠું રાજવી	Ŝablono:Informkesto reganto
શ્રેણી:પેરિસ	Kategorio:Parizo
શ્રેણી:User en-4	Kategorio:Vikipediisto en-4
શ્રેણી:User en	Kategorio:Vikipediisto en
ઢાંચો:Ordinal	Ŝablono:Ordinara
શ્રેણી:User en-2	Kategorio:Vikipediisto en-2
ઢાંચો:Infobox	Ŝablono:Informkesto
ઢાંચો:Main other	Ŝablono:Ĉu artikolo
ઢાંચો:User zh	Ŝablono:Vikipediisto zh
ઢાંચો:Template other	Ŝablono:Ĉu ŝablono
ઢાંચો:Legend	Ŝablono:Priskribo
ઢાંચો:Cite web	Ŝablono:Citaĵo el la reto
ઢાંચો:Infobox bridge	Ŝablono:Informkesto ponto
ઢાંચો:GeoTemplate	Ŝablono:GeoTemplate
ઢાંચો:Coor URL	Ŝablono:KoordinatojURL
ઢાંચો:Pp-template	Ŝablono:Pp-ŝablono
ઢાંચો:Wiktionary	Ŝablono:Vikivortaro
ઢાંચો:Language icon	Ŝablono:Ref-lang
શ્રેણી:હિન્દી ચલચિત્ર	Kategorio:Barataj filmoj
ઢાંચો:Pp-semi-template	Ŝablono:Pp-duone-ŝablono
ઢાંચો:પુરાતન દુનિયાની સાત અજાયબીઓ	Ŝablono:Sep mirindaĵoj
ઢાંચો:ITIS	Ŝablono:ITIS
ઢાંચો:Other uses	Ŝablono:Aliaj signifoj
ઢાંચો:Language with name	Ŝablono:LingvoKunNomo
ઢાંચો:માહિતીચોકઠું નૃવંશ સમુદાય	Ŝablono:Informkesto etnaj grupoj
ઢાંચો:MONTHNAME	Ŝablono:Nomo de monato
ઢાંચો:Category redirect	Ŝablono:Kategoria alidirekto
વિકિપીડિયા:Text of the GNU Free Documentation License	Vikipedio:GNU Free Documentation License
ઢાંચો:Infobox protected area	Ŝablono:Informkesto protektita tereno
ઢાંચો:Border	Ŝablono:Bordero
ઢાંચો:Top icon	Ŝablono:Titola ikono
ઢાંચો:Navbox with collapsible groups	Ŝablono:Navigilo kun kaŝeblaj grupoj
ઢાંચો:Family tree/end	Ŝablono:Genealogia arbo/fino
ઢાંચો:ParmPart	Ŝablono:ParmPart
ઢાંચો:માહિતીચોકઠું પુસ્તક	Ŝablono:Informkesto libro
ઢાંચો:Talkback	Ŝablono:Respondo
ઢાંચો:Infobox planet	Ŝablono:Informkesto Planedo
શ્રેણી:જાન્યુઆરી	Kategorio:Januaro
ઢાંચો:Lang-fa	Ŝablono:Lang-fa
ઢાંચો:User nl	Ŝablono:Vikipediisto nl
ઢાંચો:માહિતીચોકઠું વેબસાઇટ	Ŝablono:Informkesto retejo
ઢાંચો:Image label end	Ŝablono:Marko sur bildo fino
ઢાંચો:Uncategorized	Ŝablono:Mankas kategorio
ઢાંચો:Quote box	Ŝablono:Citskatolo
ઢાંચો:માહિતીચોકઠું વિશ્વ ધરોહર સ્થળ	Ŝablono:Informkesto Monda Heredaĵo
ઢાંચો:અંક પદ્ધતિ	Ŝablono:Nombrosistemoj
ઢાંચો:Str len	Ŝablono:Lin longo
ઢાંચો:Infobox sport	Ŝablono:Informkesto Sporta disciplino
ઢાંચો:Lang-de	Ŝablono:Lang-de
ઢાંચો:Empty category	Ŝablono:Neforigenda kategorio
ઢાંચો:Location map USA	Ŝablono:Situo sur mapo Usono
ઢાંચો:Lang-el	Ŝablono:Lang-el
ઢાંચો:Clarify	Ŝablono:Klarigu
શ્રેણી:વિયેતનામમાં એરપોર્ટ	Kategorio:Flughavenoj de Vietnamio
ઢાંચો:Emergency-bot-shutoff	Ŝablono:Butono por forbari robotojn
ઢાંચો:Image label small	Ŝablono:Marko sur bildo malgranda
ઢાંચો:Nihongo	Ŝablono:Nihongo
ઢાંચો:S-ttl	Ŝablono:S-ttl
ઢાંચો:Infobox stadium	Ŝablono:Informkesto stadiono
શ્રેણી:Fair use images	Kategorio:Bildoj sub Justa uzo
ઢાંચો:Infobox International Football Competition	Ŝablono:Informkesto futbala turniro
ઢાંચો:S-bef	Ŝablono:S-bef
ઢાંચો:Infobox political post	Ŝablono:Informkesto ofico
શ્રેણી:ભારતના રાષ્ટ્રપતિ	Kategorio:Prezidantoj de Barato
ઢાંચો:Fake heading	Ŝablono:Ŝajna titolo
ઢાંચો:અઠવાડિયાના વારનાં નામો	Ŝablono:Tagoj de la semajno
ઢાંચો:Nobold	Ŝablono:Nobold
ઉપનિષદ	Upaniŝadoj
ઢાંચો:Multicol-break	Ŝablono:Kolumnorompo
ઢાંચો:Infobox game	Ŝablono:Informkesto ludo
ઢાંચો:Lang-ru	Ŝablono:Lang-ru
શ્રેણી:Images	Kategorio:Bildoj
ઢાંચો:Polytonic	Ŝablono:Polytonic
ઢાંચો:Family tree/start	Ŝablono:Genealogia arbo/komenco
ઢાંચો:URL	Ŝablono:URL
ઢાંચો:સંદિગ્ધ શીર્ષક	Ŝablono:Apartigilo
ઢાંચો:No	Ŝablono:Ne farita
ઢાંચો:Doi	Ŝablono:COI
ઢાંચો:Fb	Ŝablono:Fb
ઢાંચો:Partial	Ŝablono:Parte
ઢાંચો:જીવનકાળ	Ŝablono:Vivtempo
ઢાંચો:Infobox film	Ŝablono:Informkesto filmo
ઢાંચો:Nutritionalvalue	Ŝablono:Nutravaloro
ઢાંચો:Infobox philosopher	Ŝablono:Informkesto filozofo
ઢાંચો:High-risk	Ŝablono:Ofte uzata
ઢાંચો:Infobox organisation	Ŝablono:Informkesto organizaĵo
ઢાંચો:CategoryTOC	Ŝablono:Kategoria indekso
ઢાંચો:Infobox military installation	Ŝablono:Informkesto militkonstruaĵo
ઢાંચો:Infobox museum	Ŝablono:Informkesto Muzeo
ઢાંચો:Lang-fr	Ŝablono:Lang-fr
ઢાંચો:FRA	Ŝablono:FRA
ઢાંચો:માહિતીચોકઠું વ્યક્તિ	Ŝablono:Informkesto homoj
ઢાંચો:?	Ŝablono:?
ઢાંચો:Convert	Ŝablono:Convert
ઢાંચો:Coord	Ŝablono:Koord
ઢાંચો:Dmoz	Ŝablono:Dmoz
ઢાંચો:Dated maintenance category	Ŝablono:Datita prizorga kategorio
કથ્થાઇ પેટ થડચડ	Kaŝtanventra sito
ઢાંચો:યુરોપ	Ŝablono:Ŝtatoj en Eŭropo
શ્રેણી:User fr	Kategorio:Vikipediisto fr
શ્રેણી:User fr-N	Kategorio:Vikipediisto fr-D
શ્રેણી:Wikipedia cleanup	Kategorio:Polurindaj artikoloj
ઢાંચો:Catmore	Ŝablono:PliPri
ઢાંચો:Beta	Ŝablono:Beta
ઢાંચો:UF-hcard-person	Ŝablono:UF-hcard-persono
શ્રેણી:User de	Kategorio:Vikipediisto de
શ્રેણી:User en-3	Kategorio:Vikipediisto en-3
શ્રેણી:User en-N	Kategorio:Vikipediisto en-D
ઢાંચો:N/a	Ŝablono:N/a
ઢાંચો:Legend0	Ŝablono:Priskribo0
ઢાંચો:માહિતીચોકઠું રોગ	Ŝablono:Informkesto Malsano
ઢાંચો:Weather box	Ŝablono:Informkesto jara klimo
ઢાંચો:Confuse	Ŝablono:Ne konfuzu
ઢાંચો:Wikivoyage	Ŝablono:Wikivoyage
શ્રેણી:નવેમ્બર	Kategorio:Novembro
પાણી (અણુ)	Ecoj de la akvo
શ્રેણી:માર્ચ	Kategorio:Marto
શ્રેણી:સપ્ટેમ્બર	Kategorio:Septembro
શ્રેણી:ઓક્ટોબર	Kategorio:Oktobro
શ્રેણી:ડિસેમ્બર	Kategorio:Decembro
શ્રેણી:ઓગસ્ટ	Kategorio:Aŭgusto
શ્રેણી:મે	Kategorio:Majo
ઢાંચો:No2	Ŝablono:Ne2
શ્રેણી:ઇંગ્લેન્ડ	Kategorio:Anglio
શ્રેણી:એપ્રિલ	Kategorio:Aprilo
ઢાંચો:Rh	Ŝablono:Rh
ઢાંચો:Red	Ŝablono:Ruĝa
ઢાંચો:Coord/dms2dec	Ŝablono:Koord/gmsaldek
ઢાંચો:Yes2	Ŝablono:Jes2
ઢાંચો:Yes-No	Ŝablono:Jes-Ne
ઢાંચો:Title without disambig	Ŝablono:Titolo sen apartigo
શ્રેણી:ભારતના વિશ્વધરોહર સ્થળો	Kategorio:Mondaj heredaĵoj en Barato
ઢાંચો:Bookcover	Ŝablono:Kovrilpaĝo
શ્રેણી:User ru	Kategorio:Vikipediisto ru
શ્રેણી:User ru-3	Kategorio:Vikipediisto ru-3
શ્રેણી:1533 જન્મો	Kategorio:Naskiĝintoj en 1533
શ્રેણી:User tr	Kategorio:Vikipediisto tr
શ્રેણી:User tr-N	Kategorio:Vikipediisto tr-D
ઢાંચો:Lang	Ŝablono:Lang
શ્રેણી:દિલ્હી	Kategorio:Delhio
ઢાંચો:માહિતીચોકઠું તૈયાર ખોરાક	Ŝablono:Informkesto plado
ઢાંચો:Infobox River	Ŝablono:Riveroj
શ્રેણી:1986 જન્મો	Kategorio:Naskiĝintoj en 1986
ઢાંચો:Any	Ŝablono:Io
ઢાંચો:Awards	Ŝablono:Oskar-premio
ઢાંચો:BLACK	Ŝablono:NIGRA
ઢાંચો:Twitter	Ŝablono:Twitter
ઢાંચો:Coord/dec2dms/dm	Ŝablono:Koord/dekalgms/gm
ઢાંચો:RUS	Ŝablono:RUS
ઢાંચો:Family tree/step2	Ŝablono:Genealogia arbo/paŝo2
ઢાંચો:Citation	Ŝablono:Cito
શ્રેણી:રાષ્ટ્રધ્વજો	Kategorio:Naciaj flagoj
શ્રેણી:રાસાયણિક તત્વો	Kategorio:Kemiaj elementoj
શ્રેણી:ભૂગોળ સ્ટબ	Kategorio:Ĝermoj pri geografio
ઢાંચો:Umbox	Ŝablono:Skatolo por mesaĝo al uzanto
શ્રેણી:નેપાળ	Kategorio:Nepalo
ઢાંચો:PAGENAMEBASE	Ŝablono:PAGENAMEBASE
શ્રેણી:માછલી	Kategorio:Fiŝoj
શ્રેણી:મહાસાગર	Kategorio:Oceanoj
શ્રેણી:અંક પદ્ધતિ	Kategorio:Nombrosistemoj
શ્રેણી:કર્ણાટક	Kategorio:Karnatako
શ્રેણી:ગુજરાત	Kategorio:Guĝarato
શ્રેણી:ઝારખંડ	Kategorio:Ĝharkhando
શ્રેણી:તમિલનાડુ	Kategorio:Tamilnado
શ્રેણી:મધ્ય પ્રદેશ	Kategorio:Madhja-Pradeŝo
શ્રેણી:રાજસ્થાન	Kategorio:Raĝastano
શ્રેણી:સિક્કિમ	Kategorio:Sikimo
શ્રેણી:હરિયાણા	Kategorio:Harjano
શ્રેણી:ઉત્તર પ્રદેશ	Kategorio:Utar-Pradeŝo
શ્રેણી:પશ્ચિમ બંગાળ	Kategorio:Okcident-Bengalo
શ્રેણી:પ્રાણીઓ	Kategorio:Bestoj
ધૂમ્રપાન	Tabakfumado
